country|plant|unit|model|status|constructor|architect_engineer|turbine_supplier|rpv_manufacturer
Japan|Fugen ATR|1|ATR|Shutdown|Fuji Electric|Fuji Electric|Fuji Electric|Japan Steel Works (JSW)
Japan|Fukushima-Daiichi|1|BWR-3|Shutdown|GE|GE|GE|Japan Steel Works (JSW)
Japan|Fukushima-Daiichi|2|BWR-4|Shutdown|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Fukushima-Daiichi|3|BWR-4|Shutdown|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Fukushima-Daiichi|4|BWR-4|Shutdown|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Fukushima-Daiichi|5|BWR-4|Shutdown|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Fukushima-Daiichi|6|BWR-5|Shutdown|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Fukushima-Daini|1|BWR-5|Shutdown|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Fukushima-Daini|2|BWR-5|Shutdown|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Fukushima-Daini|3|BWR-5|Shutdown|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Fukushima-Daini|4|BWR-5|Shutdown|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Genkai|1|M (2-loop)|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Genkai|2|M (2-loop)|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Genkai|3|M (4-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Genkai|4|M (4-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Hamaoka|1|BWR-4|Shutdown|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Hamaoka|2|BWR-4|Shutdown|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Hamaoka|3|BWR-5|Suspended|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Hamaoka|4|BWR-5|Suspended|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Hamaoka|5|ABWR|Suspended|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Higashi Dori|1|BWR-5|Suspended|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Ikata|1|M (2-loop)|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Ikata|2|M (2-loop)|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Ikata|3|M (3-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|JPDR|1|BWR-1|Shutdown|GE|GE|GE|Japan Steel Works (JSW)
Japan|Kashiwazaki Kariwa|1|BWR-5|Suspended|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Kashiwazaki Kariwa|2|BWR-5|Suspended|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Kashiwazaki Kariwa|3|BWR-5|Suspended|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Kashiwazaki Kariwa|4|BWR-5|Suspended|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Kashiwazaki Kariwa|5|BWR-5|Suspended|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Kashiwazaki Kariwa|6|ABWR|Operational|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
