country|plant|unit|model|status|constructor|architect_engineer|turbine_supplier|rpv_manufacturer
Japan|Kashiwazaki Kariwa|7|ABWR|Suspended|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Mihama|1|W (2-loop)|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Mihama|2|M (2-loop)|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Mihama|3|M (3-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Monju|1|Monju|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries
Japan|Ohi|1|W (4-loop)|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Ohi|2|W (4-loop)|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Ohi|3|M (4-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Ohi|4|M (4-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Ohma|1|ABWR|Under Construction|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Onagawa|1|BWR-4|Shutdown|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Onagawa|2|BWR-5|Operational|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Onagawa|3|BWR-5|Suspended|Toshiba|Toshiba|Toshiba|Japan Steel Works (JSW)
Japan|Sendai|1|M (3-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Sendai|2|M (3-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Shika|1|BWR-5|Suspended|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Shika|2|ABWR|Suspended|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Shimane|1|BWR-3|Shutdown|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Shimane|2|BWR-5|Operational|Hitachi|Hitachi|Hitachi|Japan Steel Works (JSW)
Japan|Shimane|3|ABWR|Under Construction|Hitachi-GE|Hitachi-GE|Hitachi|Japan Steel Works (JSW)
Japan|Takahama|1|M (3-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Takahama|2|M (3-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Takahama|3|M (3-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Takahama|4|M (3-loop)|Operational|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Tokai|1|Magnox|Shutdown|GEC|GEC|GEC|Fuji Electric
Japan|Tokai|2|BWR-5|Suspended|GE|GE|GE|Japan Steel Works (JSW)
Japan|Tomari|1|M (2-loop)|Suspended|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Tomari|2|M (2-loop)|Suspended|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Tomari|3|M (3-loop)|Suspended|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
Japan|Tsuruga|1|BWR-2|Shutdown|GE|GE|GE|Japan Steel Works (JSW)
Japan|Tsuruga|2|M (4-loop)|Shutdown|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Mitsubishi Heavy Industries|Japan Steel Works (JSW)
