plant|unit|field|verdict|corrected_value|confidence|source
Palo Verde|3|constructor|WRONG|Bechtel Power Corporation|HIGH|Wikipedia: Palo Verde Nuclear Generating Station ("Bechtel Power Corporation was the Architect/Engineer/Constructor for the facility")
Palo Verde|3|architect_engineer|CONFIRMED||HIGH|Wikipedia: Palo Verde Nuclear Generating Station
Palo Verde|3|turbine_supplier|CONFIRMED||HIGH|Wikipedia: Palo Verde Nuclear Generating Station
Palo Verde|3|rpv_manufacturer|CONFIRMED||MED|UCS blog, "Made in Chattanooga" (CE Chattanooga TN vessel fabrication)
Pathfinder|1|constructor|WRONG|Fegles Construction Co. and Power Service Corporation|HIGH|ANS, "Pathfinder: A Path Not Taken"
Pathfinder|1|architect_engineer|WRONG|Pioneer Service & Engineering Co.|HIGH|ANS, "Pathfinder: A Path Not Taken"
Pathfinder|1|turbine_supplier|UNVERIFIABLE|||
Pathfinder|1|rpv_manufacturer|UNVERIFIABLE|||
Peach Bottom|1|constructor|UNVERIFIABLE|||
Peach Bottom|1|architect_engineer|CONFIRMED||HIGH|Wikipedia: Peach Bottom Unit 1; ANS, "The Peach Bottom-1 HTGR"
Peach Bottom|1|turbine_supplier|UNVERIFIABLE|||
Peach Bottom|1|rpv_manufacturer|CONFIRMED||MED|Wikipedia: Peach Bottom Unit 1 (General Atomic as HTGR/NSSS designer, treated as vessel source for single-vendor prototype)
Peach Bottom|2|constructor|CONFIRMED||LOW|power-technology.com Peach Bottom-2 profile (sole source; conflates NSSS vendor/constructor per known trap)
Peach Bottom|2|architect_engineer|CONFIRMED||HIGH|power-technology.com Peach Bottom-2 profile; corroborated by Wikipedia: Peach Bottom Nuclear Generating Station
Peach Bottom|2|turbine_supplier|CONFIRMED||LOW|power-technology.com Peach Bottom-2 profile (sole source)
Peach Bottom|2|rpv_manufacturer|CONFIRMED||LOW|power-technology.com Peach Bottom-2 profile ("reactor vessel supplied by BWX Technologies," B&W's successor; sole source)
Peach Bottom|3|constructor|CONFIRMED||LOW|power-technology.com Peach Bottom-2 profile (shared plant data; sole source)
Peach Bottom|3|architect_engineer|CONFIRMED||HIGH|power-technology.com profile; corroborated by Wikipedia: Peach Bottom Nuclear Generating Station
Peach Bottom|3|turbine_supplier|CONFIRMED||LOW|power-technology.com profile (sole source)
Peach Bottom|3|rpv_manufacturer|CONFIRMED||LOW|power-technology.com profile (sole source)
Perry|1|constructor|UNVERIFIABLE|||
Perry|1|architect_engineer|CONFIRMED||LOW|power-technology.com Perry-1 profile (sole source)
Perry|1|turbine_supplier|CONFIRMED||LOW|power-technology.com Perry-1 profile (sole source)
Perry|1|rpv_manufacturer|CONFIRMED||LOW|power-technology.com Perry-1 profile ("reactor vessel supplied by GE Power and McDermott International"; sole source)
Pilgrim|1|constructor|WRONG|Bechtel|MED|Wikipedia: Pilgrim Nuclear Power Station ("Like many similar plants, it was constructed by Bechtel")
Pilgrim|1|architect_engineer|UNVERIFIABLE|||
Pilgrim|1|turbine_supplier|UNVERIFIABLE|||
Pilgrim|1|rpv_manufacturer|UNVERIFIABLE|||
Piqua|1|constructor|UNVERIFIABLE|||
Piqua|1|architect_engineer|UNVERIFIABLE|||
Piqua|1|turbine_supplier|UNVERIFIABLE|||
Piqua|1|rpv_manufacturer|UNVERIFIABLE|||
Point Beach|1|constructor|UNVERIFIABLE|||
Point Beach|1|architect_engineer|UNVERIFIABLE|||
Point Beach|1|turbine_supplier|UNVERIFIABLE|||
Point Beach|1|rpv_manufacturer|UNVERIFIABLE|||
Point Beach|2|constructor|UNVERIFIABLE|||
Point Beach|2|architect_engineer|UNVERIFIABLE|||
Point Beach|2|turbine_supplier|UNVERIFIABLE|||
Point Beach|2|rpv_manufacturer|UNVERIFIABLE|||
Prairie Island|1|constructor|UNVERIFIABLE|||
Prairie Island|1|architect_engineer|CONFIRMED||LOW|Fluor project page, fluor.com/projects/prairie-island-nuclear-generating-plant ("served as the plant's original architect/engineer")
Prairie Island|1|turbine_supplier|UNVERIFIABLE|||
Prairie Island|1|rpv_manufacturer|UNVERIFIABLE|||
Prairie Island|2|constructor|UNVERIFIABLE|||
Prairie Island|2|architect_engineer|CONFIRMED||LOW|Fluor project page, fluor.com/projects/prairie-island-nuclear-generating-plant
Prairie Island|2|turbine_supplier|UNVERIFIABLE|||
Prairie Island|2|rpv_manufacturer|UNVERIFIABLE|||
Quad Cities|1|constructor|UNVERIFIABLE|||
Quad Cities|1|architect_engineer|UNVERIFIABLE|||
Quad Cities|1|turbine_supplier|UNVERIFIABLE|||
Quad Cities|1|rpv_manufacturer|UNVERIFIABLE|||
Quad Cities|2|constructor|UNVERIFIABLE|||
Quad Cities|2|architect_engineer|UNVERIFIABLE|||
Quad Cities|2|turbine_supplier|UNVERIFIABLE|||
Quad Cities|2|rpv_manufacturer|UNVERIFIABLE|||
Rancho Seco|1|constructor|WRONG|Bechtel|MED|UC Davis Environs, Sabey, "Sacramento Turns Out Rancho Seco" ("SMUD hired Babcock and Wilcox to design the plant and Bechtel to construct it")
Rancho Seco|1|architect_engineer|UNVERIFIABLE|||
Rancho Seco|1|turbine_supplier|UNVERIFIABLE|||
Rancho Seco|1|rpv_manufacturer|UNVERIFIABLE|||
River Bend|1|constructor|UNVERIFIABLE|||
River Bend|1|architect_engineer|UNVERIFIABLE|||
River Bend|1|turbine_supplier|UNVERIFIABLE|||
River Bend|1|rpv_manufacturer|UNVERIFIABLE|||
Robinson (H B Robinson)|2|constructor|WRONG|Ebasco Services|MED|NRC ADAMS ML20041F522 (Ebasco Services nuclear power plant filing), via search synthesis
Robinson (H B Robinson)|2|architect_engineer|CONFIRMED||MED|NRC ADAMS ML20041F522
Robinson (H B Robinson)|2|turbine_supplier|UNVERIFIABLE|||
Robinson (H B Robinson)|2|rpv_manufacturer|UNVERIFIABLE|||
Salem|1|constructor|UNVERIFIABLE|||
Salem|1|architect_engineer|CONFIRMED||MED|power-technology.com Salem-1 profile ("Public Service Enterprise Group was selected as an architect engineer" — PSEG is parent of claimed PSE&G)
Salem|1|turbine_supplier|UNVERIFIABLE|||
Salem|1|rpv_manufacturer|CONFIRMED||MED|power-technology.com Salem-1 profile ("reactor vessel has been supplied by Combustion Engineering" — distinct from Westinghouse NSSS, mitigating conflation risk)
Salem|2|constructor|UNVERIFIABLE|||
Salem|2|architect_engineer|CONFIRMED||MED|power-technology.com Salem-1 profile (shared plant data)
Salem|2|turbine_supplier|UNVERIFIABLE|||
Salem|2|rpv_manufacturer|CONFIRMED||MED|power-technology.com Salem-1 profile (shared plant data)
San Onofre|1|constructor|WRONG|Bechtel|LOW|power-technology.com San Onofre profile ("All three units...were built by Bechtel"; sole source)
San Onofre|1|architect_engineer|CONFIRMED||LOW|power-technology.com San Onofre profile (sole source)
San Onofre|1|turbine_supplier|WRONG|English Electric (original; later replaced by Mitsubishi Heavy Industries)|LOW|power-technology.com San Onofre profile (sole source)
San Onofre|1|rpv_manufacturer|UNVERIFIABLE|||
San Onofre|2|constructor|WRONG|Bechtel|LOW|power-technology.com San Onofre profile (sole source)
San Onofre|2|architect_engineer|CONFIRMED||LOW|power-technology.com San Onofre profile (sole source)
San Onofre|2|turbine_supplier|WRONG|English Electric (original; later Mitsubishi Heavy Industries)|LOW|power-technology.com San Onofre profile (sole source)
San Onofre|2|rpv_manufacturer|UNVERIFIABLE|||
San Onofre|3|constructor|WRONG|Bechtel|LOW|power-technology.com San Onofre profile (sole source)
San Onofre|3|architect_engineer|CONFIRMED||LOW|power-technology.com San Onofre profile (sole source)
San Onofre|3|turbine_supplier|WRONG|English Electric (original; later Mitsubishi Heavy Industries)|LOW|power-technology.com San Onofre profile (sole source)
San Onofre|3|rpv_manufacturer|UNVERIFIABLE|||
Saxton|1|constructor|WRONG|Westinghouse Electric Corporation|HIGH|Wikipedia: Saxton Nuclear Generating Station ("designed and constructed by Westinghouse Electric Corporation")
Saxton|1|architect_engineer|UNVERIFIABLE|||
Saxton|1|turbine_supplier|CONFIRMED||HIGH|Wikipedia: Saxton Nuclear Generating Station (plant had no dedicated turbine; used adjacent Saxton Steam Generating Station's turbine-generator)
Saxton|1|rpv_manufacturer|UNVERIFIABLE|||
Seabrook|1|constructor|UNVERIFIABLE|||
Seabrook|1|architect_engineer|CONFIRMED||MED|power-technology.com Seabrook-1 profile ("United Engineers & Constructors was selected as the architect engineer")
Seabrook|1|turbine_supplier|WRONG|General Electric|MED|power-technology.com Seabrook-1 profile ("Steam Turbine Supplier: GE Power"); corroborated by MIT OpenCourseWare 22.091 Lecture 16 PDF ("Seabrook's turbine-generator was built by General Electric")
Seabrook|1|rpv_manufacturer|UNVERIFIABLE|||
Sequoyah|1|constructor|UNVERIFIABLE|||
Sequoyah|1|architect_engineer|UNVERIFIABLE|||
Sequoyah|1|turbine_supplier|UNVERIFIABLE|||
Sequoyah|1|rpv_manufacturer|UNVERIFIABLE|||
Sequoyah|2|constructor|UNVERIFIABLE|||
Sequoyah|2|architect_engineer|UNVERIFIABLE|||
Sequoyah|2|turbine_supplier|UNVERIFIABLE|||
Sequoyah|2|rpv_manufacturer|UNVERIFIABLE|||
Shippingport|1|constructor|UNVERIFIABLE|||
Shippingport|1|architect_engineer|UNVERIFIABLE|||
Shippingport|1|turbine_supplier|CONFIRMED||MED|Multi-source historical AEC/Duquesne synthesis ("installation...of the 100,000 kw Westinghouse turbine generator")
Shippingport|1|rpv_manufacturer|UNVERIFIABLE|||
# NOTES
