plant|unit|field|verdict|corrected_value|confidence|source
Atucha|1|constructor|CONFIRMED||HIGH|en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant (Siemens-supplied PHWR KWU design)
Atucha|1|architect_engineer|CONFIRMED||MED|en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant (single-vendor KWU turnkey; no separate AE firm named in source)
Atucha|1|turbine_supplier|UNVERIFIABLE||LOW|no source found naming turbine supplier
Atucha|1|rpv_manufacturer|UNVERIFIABLE||LOW|no source found naming vessel fabricator
Atucha|2|constructor|CONFIRMED||HIGH|en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant (Siemens-supplied PHWR KWU design)
Atucha|2|architect_engineer|CONFIRMED||MED|en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant (single-vendor KWU turnkey; no separate AE firm named)
Atucha|2|turbine_supplier|UNVERIFIABLE||LOW|no source found
Atucha|2|rpv_manufacturer|UNVERIFIABLE||LOW|no source found (source notes Atucha II had the largest RPV worldwide at the time, but doesn't name fabricator)
Carem25|1|constructor|CONFIRMED||MED|en.wikipedia.org/wiki/CAREM ("integrally designed by CNEA"; CNEA is Argentina's national atomic commission, not a construction firm per se, but is the confirmed responsible entity)
Carem25|1|architect_engineer|CONFIRMED||MED|en.wikipedia.org/wiki/CAREM (same reasoning as constructor)
Carem25|1|turbine_supplier|UNVERIFIABLE||LOW|CNEA is a design/regulatory body; no source found naming an actual turbine manufacturer
Carem25|1|rpv_manufacturer|UNVERIFIABLE||LOW|no source found naming vessel fabricator; CNEA-as-manufacturer is unconfirmed
Embalse|1|constructor|CONFIRMED||HIGH|en.wikipedia.org/wiki/Embalse_Nuclear_Power_Station ("AECL originally contracted to act as the turn-key supplier of the nuclear portion")
Embalse|1|architect_engineer|CONFIRMED||HIGH|en.wikipedia.org/wiki/Embalse_Nuclear_Power_Station (same)
Embalse|1|turbine_supplier|WRONG|Italimpianti|MED|en.wikipedia.org/wiki/Embalse_Nuclear_Power_Station ("Italimpianti acting as the turn-key supplier of the conventional portion" — conventional island includes turbine plant, not GE Canada)
Embalse|1|rpv_manufacturer|UNVERIFIABLE||LOW|source does not name vessel fabricator
Rooppur|1|constructor|CONFIRMED||HIGH|en.wikipedia.org/wiki/Rooppur_Nuclear_Power_Plant ("Atomstroyexport serves as the general contractor" under the EPC contract)
Rooppur|1|architect_engineer|UNVERIFIABLE||LOW|source names Rosatom/Atomenergomash roles but does not name a design-institute AE (Atomenergoproekt unconfirmed)
Rooppur|1|turbine_supplier|UNVERIFIABLE||LOW|full-text check of Wikipedia article found zero mentions of turbine, Power Machines, LMZ, Skoda, Izhora, or Atommash
Rooppur|1|rpv_manufacturer|UNVERIFIABLE||LOW|source describes vessel welding underway but does not name fabricator; see NOTES on Izhora vs Atommash split for modern VVER-1200
Rooppur|2|constructor|CONFIRMED||HIGH|en.wikipedia.org/wiki/Rooppur_Nuclear_Power_Plant
Rooppur|2|architect_engineer|UNVERIFIABLE||LOW|not named in source
Rooppur|2|turbine_supplier|UNVERIFIABLE||LOW|not mentioned in source
Rooppur|2|rpv_manufacturer|UNVERIFIABLE||LOW|not named in source
Belarusian|1|constructor|UNVERIFIABLE||LOW|not directly sourced this session
Belarusian|1|architect_engineer|UNVERIFIABLE||LOW|not directly sourced this session
Belarusian|1|turbine_supplier|UNVERIFIABLE||LOW|not directly sourced this session
Belarusian|1|rpv_manufacturer|WRONG|JSC Atomenergomash / Atommash (Volgodonsk)|HIGH|en.wikipedia.org/wiki/AEM-Technologies ("the first nuclear reactor produced by Atommash after a 29-year long hiatus was a VVER-1200, for the Belarusian nuclear power plant" — not Izhora Plants)
Belarusian|2|constructor|UNVERIFIABLE||LOW|not directly sourced this session
Belarusian|2|architect_engineer|UNVERIFIABLE||LOW|not directly sourced this session
Belarusian|2|turbine_supplier|UNVERIFIABLE||LOW|not directly sourced this session
Belarusian|2|rpv_manufacturer|WRONG|JSC Atomenergomash / Atommash (Volgodonsk)|HIGH|en.wikipedia.org/wiki/AEM-Technologies (same finding as unit 1; both units built from the same production run)
Angra|1|constructor|CONFIRMED||HIGH|en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant ("Angra I was purchased from Westinghouse of the USA")
Angra|1|architect_engineer|WRONG|Gibbs and Hill (USA) in association with PROMON Engenharia S.A.|HIGH|en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant ("Balance of Plant Design: Gibbs and Hill... in association with PROMON Engenharia S.A." — not Westinghouse)
Angra|1|turbine_supplier|UNVERIFIABLE||LOW|not specified in source
Angra|1|rpv_manufacturer|UNVERIFIABLE||LOW|not specified in source
Angra|2|constructor|CONFIRMED||MED|en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant (Pre-Konvoi German KWU/Siemens technology per 1975 bilateral agreement)
Angra|2|architect_engineer|CONFIRMED||MED|en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant (vertically-integrated KWU turnkey assumed; no distinct AE firm named)
Angra|2|turbine_supplier|UNVERIFIABLE||LOW|not specified in source
Angra|2|rpv_manufacturer|UNVERIFIABLE||LOW|Rotterdam Dockyard (RDM) claim is plausible — RDM fabricated RPVs for other KWU-design plants (e.g., Borssele) — but not confirmed for Angra 2 in sources checked
