plant|unit|field|verdict|corrected_value|confidence|source
Indian Point|1|constructor|WRONG|Consolidated Edison|MED|en.wikipedia.org/wiki/Indian_Point_Energy_Center ("built by Consolidated Edison")
Indian Point|1|architect_engineer|UNVERIFIABLE|||
Indian Point|1|turbine_supplier|UNVERIFIABLE|||
Indian Point|1|rpv_manufacturer|UNVERIFIABLE|||
Indian Point|2|constructor|UNVERIFIABLE|||
Indian Point|2|architect_engineer|UNVERIFIABLE|||
Indian Point|2|turbine_supplier|UNVERIFIABLE|||
Indian Point|2|rpv_manufacturer|UNVERIFIABLE|||
Indian Point|3|constructor|UNVERIFIABLE|||
Indian Point|3|architect_engineer|UNVERIFIABLE|||
Indian Point|3|turbine_supplier|UNVERIFIABLE|||
Indian Point|3|rpv_manufacturer|UNVERIFIABLE|||
Kewaunee|1|constructor|UNVERIFIABLE|||
Kewaunee|1|architect_engineer|UNVERIFIABLE|||
Kewaunee|1|turbine_supplier|UNVERIFIABLE|||
Kewaunee|1|rpv_manufacturer|UNVERIFIABLE|||
LaSalle|1|constructor|UNVERIFIABLE|||
LaSalle|1|architect_engineer|UNVERIFIABLE|||
LaSalle|1|turbine_supplier|UNVERIFIABLE|||
LaSalle|1|rpv_manufacturer|UNVERIFIABLE|||
LaSalle|2|constructor|UNVERIFIABLE|||
LaSalle|2|architect_engineer|UNVERIFIABLE|||
LaSalle|2|turbine_supplier|UNVERIFIABLE|||
LaSalle|2|rpv_manufacturer|UNVERIFIABLE|||
Lacrosse|1|turbine_supplier|UNVERIFIABLE|||
Lacrosse|1|rpv_manufacturer|UNVERIFIABLE|||
Limerick|1|constructor|WRONG|Bechtel Power Corporation|MED|en.wikipedia.org/wiki/Limerick_Generating_Station ("construction ... by the Bechtel Power Corporation")
Limerick|1|architect_engineer|CONFIRMED||MED|en.wikipedia.org/wiki/Limerick_Generating_Station
Limerick|1|turbine_supplier|UNVERIFIABLE|||
Limerick|1|rpv_manufacturer|UNVERIFIABLE|||
Limerick|2|constructor|WRONG|Bechtel Power Corporation|MED|en.wikipedia.org/wiki/Limerick_Generating_Station
Limerick|2|architect_engineer|CONFIRMED||MED|en.wikipedia.org/wiki/Limerick_Generating_Station
Limerick|2|turbine_supplier|UNVERIFIABLE|||
Limerick|2|rpv_manufacturer|UNVERIFIABLE|||
Maine Yankee|1|constructor|UNVERIFIABLE|||
Maine Yankee|1|architect_engineer|UNVERIFIABLE|||
Maine Yankee|1|turbine_supplier|UNVERIFIABLE|||
Maine Yankee|1|rpv_manufacturer|UNVERIFIABLE|||
McGuire|1|constructor|UNVERIFIABLE|||
McGuire|1|architect_engineer|UNVERIFIABLE|||
McGuire|1|turbine_supplier|UNVERIFIABLE|||
McGuire|1|rpv_manufacturer|UNVERIFIABLE|||
McGuire|2|constructor|UNVERIFIABLE|||
McGuire|2|architect_engineer|UNVERIFIABLE|||
McGuire|2|turbine_supplier|UNVERIFIABLE|||
McGuire|2|rpv_manufacturer|UNVERIFIABLE|||
Millstone|1|constructor|UNVERIFIABLE|||
Millstone|1|architect_engineer|UNVERIFIABLE|||
Millstone|1|turbine_supplier|UNVERIFIABLE|||
Millstone|1|rpv_manufacturer|UNVERIFIABLE|||
Millstone|2|constructor|UNVERIFIABLE|||
Millstone|2|architect_engineer|UNVERIFIABLE|||
Millstone|2|turbine_supplier|UNVERIFIABLE|||
Millstone|2|rpv_manufacturer|UNVERIFIABLE|||
Millstone|3|constructor|UNVERIFIABLE|||
Millstone|3|architect_engineer|UNVERIFIABLE|||
Millstone|3|turbine_supplier|UNVERIFIABLE|||
Millstone|3|rpv_manufacturer|UNVERIFIABLE|||
Monticello|1|constructor|UNVERIFIABLE|||
Monticello|1|architect_engineer|UNVERIFIABLE|||
Monticello|1|turbine_supplier|UNVERIFIABLE|||
Monticello|1|rpv_manufacturer|UNVERIFIABLE|||
Nine Mile Point|1|constructor|UNVERIFIABLE|||
Nine Mile Point|1|architect_engineer|UNVERIFIABLE|||
Nine Mile Point|1|turbine_supplier|UNVERIFIABLE|||
Nine Mile Point|1|rpv_manufacturer|UNVERIFIABLE|||
Nine Mile Point|2|constructor|UNVERIFIABLE|||
Nine Mile Point|2|architect_engineer|UNVERIFIABLE|||
Nine Mile Point|2|turbine_supplier|UNVERIFIABLE|||
Nine Mile Point|2|rpv_manufacturer|UNVERIFIABLE|||
North Anna|1|constructor|UNVERIFIABLE|||
North Anna|1|architect_engineer|UNVERIFIABLE|||
North Anna|1|turbine_supplier|UNVERIFIABLE|||
North Anna|1|rpv_manufacturer|UNVERIFIABLE|||
North Anna|2|constructor|UNVERIFIABLE|||
North Anna|2|architect_engineer|UNVERIFIABLE|||
North Anna|2|turbine_supplier|UNVERIFIABLE|||
North Anna|2|rpv_manufacturer|UNVERIFIABLE|||
Oconee|1|constructor|UNVERIFIABLE|||
