plant|unit|field|verdict|corrected_value|confidence|source
Arkansas Nuclear One|1|constructor|UNVERIFIABLE||
Arkansas Nuclear One|1|architect_engineer|CONFIRMED||MED|Grokipedia/Arkansas Business/Encyclopedia of Arkansas: "Both units were designed by Bechtel Power"
Arkansas Nuclear One|1|turbine_supplier|CONFIRMED||MED|Arkansas Business/Grokipedia: "generator was supplied by Westinghouse Electric Corp. of Pittsburgh"
Arkansas Nuclear One|1|rpv_manufacturer|CONFIRMED||HIGH|Encyclopedia of Arkansas/Grokipedia: Unit 1 reactor built by Babcock & Wilcox, Akron OH
Arkansas Nuclear One|2|constructor|UNVERIFIABLE||
Arkansas Nuclear One|2|architect_engineer|CONFIRMED||MED|Grokipedia/Arkansas Business: "Both units were designed by Bechtel Power"
Arkansas Nuclear One|2|turbine_supplier|CONFIRMED||MED|NRC ano2 info-finder / Entergy summary: turbine generator supplied by General Electric
Arkansas Nuclear One|2|rpv_manufacturer|CONFIRMED||MED|UCS "Made in Chattanooga" (Lochbaum): ANO Unit 2 reactor vessel made by Combustion Engineering, Chattanooga
Beaver Valley|1|constructor|UNVERIFIABLE||
Beaver Valley|1|architect_engineer|CONFIRMED||MED|Wikipedia Beaver Valley Nuclear Power Station: plant "designed and engineered by Stone & Webster"
Beaver Valley|1|turbine_supplier|UNVERIFIABLE||
Beaver Valley|1|rpv_manufacturer|CONFIRMED||MED|UCS "Made in Chattanooga": Beaver Valley Unit 1 reactor vessel made by Combustion Engineering
Beaver Valley|2|constructor|UNVERIFIABLE||
Beaver Valley|2|architect_engineer|CONFIRMED||MED|Wikipedia Beaver Valley Nuclear Power Station: "designed and engineered by Stone & Webster"
Beaver Valley|2|turbine_supplier|UNVERIFIABLE||
Beaver Valley|2|rpv_manufacturer|CONFIRMED||MED|UCS "Made in Chattanooga": Beaver Valley Unit 2 reactor vessel made by Combustion Engineering
Big Rock Point|1|constructor|WRONG|Bechtel Corporation|MED|Wikipedia Big Rock Point Nuclear Power Plant: "Bechtel Corporation was the primary contractor"
Big Rock Point|1|architect_engineer|UNVERIFIABLE||
Big Rock Point|1|turbine_supplier|CONFIRMED||MED|Wikipedia Big Rock Point: GE 3600 rpm tandem-compound turbine-generator
Big Rock Point|1|rpv_manufacturer|CONFIRMED||MED|UCS "Made in Chattanooga": Big Rock Point reactor vessel made by Combustion Engineering (note: generic Wikipedia prose calling the reactor "made by GE" conflates GE as NSSS/turnkey vendor with the actual vessel fabricator - the known trap)
Bonus|1|constructor|WRONG|Chicago Bridge Co.; General Nuclear Engineering|HIGH|Wikipedia Boiling Nuclear Superheater Reactor Facility (BONUS) infobox: "Chicago Bridge Co.; Gen Nuclear Engineering built the facility"
Bonus|1|architect_engineer|WRONG|Atomic Energy Commission; Maxon Co.|HIGH|Wikipedia BONUS infobox: "Atomic Energy Commission" and "Maxon Co." served as architects
Bonus|1|turbine_supplier|UNVERIFIABLE||
Bonus|1|rpv_manufacturer|UNVERIFIABLE||
Braidwood|1|constructor|UNVERIFIABLE||
Braidwood|1|architect_engineer|UNVERIFIABLE||
Braidwood|1|turbine_supplier|UNVERIFIABLE||
Braidwood|1|rpv_manufacturer|UNVERIFIABLE||
Braidwood|2|constructor|UNVERIFIABLE||
Braidwood|2|architect_engineer|UNVERIFIABLE||
Braidwood|2|turbine_supplier|UNVERIFIABLE||
Braidwood|2|rpv_manufacturer|UNVERIFIABLE||
Browns Ferry|1|constructor|UNVERIFIABLE||
Browns Ferry|1|architect_engineer|UNVERIFIABLE||
Browns Ferry|1|turbine_supplier|UNVERIFIABLE||
Browns Ferry|1|rpv_manufacturer|UNVERIFIABLE||
Browns Ferry|2|constructor|UNVERIFIABLE||
Browns Ferry|2|architect_engineer|UNVERIFIABLE||
Browns Ferry|2|turbine_supplier|UNVERIFIABLE||
Browns Ferry|2|rpv_manufacturer|UNVERIFIABLE||
Browns Ferry|3|constructor|UNVERIFIABLE||
Browns Ferry|3|architect_engineer|UNVERIFIABLE||
Browns Ferry|3|turbine_supplier|UNVERIFIABLE||
Browns Ferry|3|rpv_manufacturer|UNVERIFIABLE||
Brunswick|1|constructor|UNVERIFIABLE||
Brunswick|1|architect_engineer|UNVERIFIABLE||
Brunswick|1|turbine_supplier|UNVERIFIABLE||
Brunswick|1|rpv_manufacturer|UNVERIFIABLE||
Brunswick|2|constructor|UNVERIFIABLE||
Brunswick|2|architect_engineer|UNVERIFIABLE||
Brunswick|2|turbine_supplier|UNVERIFIABLE||
Brunswick|2|rpv_manufacturer|UNVERIFIABLE||
Byron|1|constructor|UNVERIFIABLE||
Byron|1|architect_engineer|CONFIRMED||HIGH|Wikipedia Byron Nuclear Generating Station: "The firm of Sargent & Lundy acted as consulting engineer during construction"
Byron|1|turbine_supplier|UNVERIFIABLE||
Byron|1|rpv_manufacturer|CONFIRMED||HIGH|Wikipedia Byron Nuclear Generating Station: "Babcock & Wilcox oversaw the completion of the reactor vessels"
Byron|2|constructor|UNVERIFIABLE||
Byron|2|architect_engineer|CONFIRMED||HIGH|Wikipedia Byron: "Sargent & Lundy acted as consulting engineer during construction"
Byron|2|turbine_supplier|UNVERIFIABLE||
Byron|2|rpv_manufacturer|CONFIRMED||HIGH|Wikipedia Byron: "Babcock & Wilcox oversaw the completion of the reactor vessels"
CVTR|1|constructor|UNVERIFIABLE||
CVTR|1|architect_engineer|WRONG|Stone & Webster Engineering|MED|Wikipedia Carolinas-Virginia Tube Reactor: "Stone and Webster Engineering handled the remainder of the plant design," including containment
CVTR|1|turbine_supplier|UNVERIFIABLE||
CVTR|1|rpv_manufacturer|CONFIRMED||MED|Wikipedia CVTR: "Westinghouse Atomic Power Division was responsible for the design of the nuclear systems"
Callaway|1|constructor|UNVERIFIABLE||
Callaway|1|architect_engineer|UNVERIFIABLE||
Callaway|1|turbine_supplier|UNVERIFIABLE||
Callaway|1|rpv_manufacturer|CONFIRMED||MED|UCS "Made in Chattanooga": Callaway reactor vessel made by Combustion Engineering
Calvert Cliffs|1|constructor|UNVERIFIABLE||
Calvert Cliffs|1|architect_engineer|UNVERIFIABLE||
Calvert Cliffs|1|turbine_supplier|UNVERIFIABLE||
