plant|unit|field|verdict|corrected_value|confidence|source
Hanbit (Yonggwang)|1|constructor|UNVERIFIABLE||LOW|No direct source found this session; batch value (Westinghouse) plausible for era but WNA notes these units "involved local contractors" so cannot confirm sole Westinghouse construction
Hanbit (Yonggwang)|1|architect_engineer|UNVERIFIABLE||LOW|No unit-specific AE source found; KEPCO E&C likely anachronistic for a 1986-commissioned Westinghouse-design unit but no confirmed alternative found
Hanbit (Yonggwang)|1|turbine_supplier|UNVERIFIABLE||LOW|No unit-specific turbine source found; Doosan HI is suspect given Kori 1-4 (same era) used GEC Rugby, but not confirmed for Hanbit 1/2 specifically
Hanbit (Yonggwang)|1|rpv_manufacturer|UNVERIFIABLE||LOW|No unit-specific RPV source found
Hanbit (Yonggwang)|2|constructor|UNVERIFIABLE||LOW|Same as Hanbit 1
Hanbit (Yonggwang)|2|architect_engineer|UNVERIFIABLE||LOW|Same as Hanbit 1
Hanbit (Yonggwang)|2|turbine_supplier|UNVERIFIABLE||LOW|Same as Hanbit 1
Hanbit (Yonggwang)|2|rpv_manufacturer|UNVERIFIABLE||LOW|Same as Hanbit 1
Hanbit (Yonggwang)|3|constructor|UNVERIFIABLE||LOW|"KEPCO E&C / Hyundai E&C" duplicates the AE field with a generic constructor name; no site-specific contractor record confirmed this session
Hanbit (Yonggwang)|3|architect_engineer|CONFIRMED||HIGH|WNA South Korea country profile: KSNP/OPR-1000-era domestic units engineered by KEPCO E&C (formerly KOPEC)
Hanbit (Yonggwang)|3|turbine_supplier|CONFIRMED||MED|Standard domestic OPR-1000 fleet turbine supplier is Doosan Heavy Industries (industry-standard knowledge; not independently re-confirmed per-unit this session)
Hanbit (Yonggwang)|3|rpv_manufacturer|CONFIRMED||MED|Standard domestic OPR-1000 fleet RPV/NSSS manufacturer is Doosan Heavy Industries (industry-standard knowledge; not independently re-confirmed per-unit this session)
Hanbit (Yonggwang)|4|constructor|UNVERIFIABLE||LOW|Same as Hanbit 3
Hanbit (Yonggwang)|4|architect_engineer|CONFIRMED||HIGH|Same as Hanbit 3
Hanbit (Yonggwang)|4|turbine_supplier|CONFIRMED||MED|Same as Hanbit 3
Hanbit (Yonggwang)|4|rpv_manufacturer|CONFIRMED||MED|Same as Hanbit 3
