plant|unit|field|verdict|corrected_value|confidence|source
Barsebäck|1|constructor|CONFIRMED||HIGH|sv.wikipedia.org "Barsebäcksverket" — Sydkraft ordered reactor 1 from ASEA-Atom
Barsebäck|1|architect_engineer|UNVERIFIABLE||LOW|no AE distinct from constructor found
Barsebäck|1|turbine_supplier|WRONG|Stal-Laval|MED|sv.wikipedia.org "Stal-Laval" — supplied turbines to all four Swedish nuclear plant sites in the 1970s; ASEA-Atom was NSSS designer, not a turbine maker
Barsebäck|1|rpv_manufacturer|UNVERIFIABLE||LOW|no Barsebäck-specific RPV source found (Uddcomb page unreachable)
Barsebäck|2|constructor|CONFIRMED||HIGH|sv.wikipedia.org "Barsebäcksverket" — Sydkraft ordered Barsebäck 2 from ASEA-Atom in 1970
Barsebäck|2|architect_engineer|UNVERIFIABLE||LOW|same as Barsebäck 1
Barsebäck|2|turbine_supplier|WRONG|Stal-Laval|MED|same basis as Barsebäck 1
Barsebäck|2|rpv_manufacturer|UNVERIFIABLE||LOW|same as Barsebäck 1
Forsmark|1|constructor|WRONG|ASEA-Atom|HIGH|sv.wikipedia.org "Forsmarks kärnkraftverk" — delivered by ASEA-Atom; F1 entered service 1980, predating ABB (formed 1988)
Forsmark|1|architect_engineer|UNVERIFIABLE||LOW|no distinct AE named in source
Forsmark|1|turbine_supplier|WRONG|STAL (Svenska Turbinfabriks, later Stal-Laval/Alstom)|HIGH|sv.wikipedia.org "Forsmarks kärnkraftverk" — "levererades av dåvarande STAL - numera Alstom"
Forsmark|1|rpv_manufacturer|UNVERIFIABLE||LOW|source does not cover RPV manufacturer
Forsmark|2|constructor|WRONG|ASEA-Atom|HIGH|same source as F1 (identical twin unit); F2 in service 1981, predates ABB
Forsmark|2|architect_engineer|UNVERIFIABLE||LOW|same as F1
Forsmark|2|turbine_supplier|WRONG|STAL (later Alstom)|HIGH|same source as F1
Forsmark|2|rpv_manufacturer|UNVERIFIABLE||LOW|same as F1
Forsmark|3|constructor|WRONG|ASEA-Atom|HIGH|sv.wikipedia.org "Forsmarks kärnkraftverk" (BWR75 model); F3 in service 1985, predates ABB
Forsmark|3|architect_engineer|UNVERIFIABLE||LOW|no distinct AE named
Forsmark|3|turbine_supplier|WRONG|not ASEA-Atom; likely STAL/successor — exact 1985 original supplier unconfirmed|LOW|sv.wikipedia.org confirms only a 2004 Siemens retrofit and original BBC generator; ASEA-Atom (reactor design house) is structurally not a turbine maker
Forsmark|3|rpv_manufacturer|UNVERIFIABLE||LOW|not covered in source
