plant|unit|field|verdict|corrected_value|confidence|source
Kursk 1|3|constructor|WRONG|Kurskatomenergostroy (construction trust; Minsredmash was the overseeing ministry, not the builder)|MED|en.wikipedia.org Kursk Nuclear Power Plant
Kursk 1|3|architect_engineer|CONFIRMED||MED|en.wikipedia.org Kursk Nuclear Power Plant ("General Designer: Atomenergoproject (Moscow)")
Kursk 1|3|turbine_supplier|WRONG|Kharkiv Turbine Plant (Turboatom)|HIGH|ru.wikipedia.org Курская АЭС ("две турбины К-500-65/3000... производства Харьковского турбинного завода"); en.wikipedia.org Turboatom
Kursk 1|3|rpv_manufacturer|CONFIRMED||HIGH|RBMK channel-type reactor has no single pressure vessel (general RBMK design fact)
Kursk 1|4|constructor|WRONG|Kurskatomenergostroy (construction trust; Minsredmash was the overseeing ministry, not the builder)|MED|en.wikipedia.org Kursk Nuclear Power Plant
Kursk 1|4|architect_engineer|CONFIRMED||MED|en.wikipedia.org Kursk Nuclear Power Plant ("General Designer: Atomenergoproject (Moscow)")
Kursk 1|4|turbine_supplier|WRONG|Kharkiv Turbine Plant (Turboatom)|HIGH|ru.wikipedia.org Курская АЭС ("две турбины К-500-65/3000... производства Харьковского турбинного завода"); en.wikipedia.org Turboatom
Kursk 1|4|rpv_manufacturer|CONFIRMED||HIGH|RBMK channel-type reactor has no single pressure vessel (general RBMK design fact)
Kursk 2|1|constructor|CONFIRMED||MED|Atomstroyexport is the historically correct label; current legal successor is JSC ASE (post-2012 NIAEP+Atomstroyexport merger)
Kursk 2|1|architect_engineer|WRONG|AO ASE / NIAEP (Nizhny Novgorod Atomenergoproekt), not Moscow Atomenergoproekt|MED|analogized from ru.wikipedia.org Ростовская АЭС (Gorky/Nizhny Novgorod design institute lineage) plus Rosatom's domestic VVER-1200 "AES-2006" program structure
Kursk 2|1|turbine_supplier|CONFIRMED||HIGH|en.wikipedia.org Kursk Nuclear Power Plant ("Turbine Supplier: Power Machines PJSC... low-speed turbine-generator" for Kursk II)
Kursk 2|1|rpv_manufacturer|UNVERIFIABLE|||no plant-specific source distinguishing Izhora vs Atommash for the Kursk II vessel
Kursk 2|2|constructor|CONFIRMED||MED|Atomstroyexport is the historically correct label; current legal successor is JSC ASE (post-2012 NIAEP+Atomstroyexport merger)
Kursk 2|2|architect_engineer|WRONG|AO ASE / NIAEP (Nizhny Novgorod Atomenergoproekt), not Moscow Atomenergoproekt|MED|analogized from ru.wikipedia.org Ростовская АЭС (Gorky/Nizhny Novgorod design institute lineage) plus Rosatom's domestic VVER-1200 "AES-2006" program structure
Kursk 2|2|turbine_supplier|CONFIRMED||HIGH|en.wikipedia.org Kursk Nuclear Power Plant ("Turbine Supplier: Power Machines PJSC... low-speed turbine-generator" for Kursk II)
Kursk 2|2|rpv_manufacturer|UNVERIFIABLE|||no plant-specific source distinguishing Izhora vs Atommash for the Kursk II vessel
Leningrad 1|1|constructor|UNVERIFIABLE|||Minsredmash is a ministry, not a builder; no sourced successor construction-trust name found for Leningrad
Leningrad 1|1|architect_engineer|UNVERIFIABLE|||no direct source found; general RBMK-program literature credits the Leningrad-based institute VNIPIET for RBMK plant architect-engineer work, conflicting with the Atomenergoproekt default — left unresolved rather than guessed
Leningrad 1|1|turbine_supplier|WRONG|Kharkiv Turbine Plant (Turboatom)|HIGH|en.wikipedia.org Turboatom (explicitly lists Leningrad NPP among plants receiving 500 MW Turboatom turbines in the early 1970s)
Leningrad 1|1|rpv_manufacturer|CONFIRMED||HIGH|RBMK channel-type reactor has no single pressure vessel (general RBMK design fact)
Leningrad 1|2|constructor|UNVERIFIABLE|||Minsredmash is a ministry, not a builder; no sourced successor construction-trust name found for Leningrad
Leningrad 1|2|architect_engineer|UNVERIFIABLE|||no direct source found; general RBMK-program literature credits VNIPIET, conflicting with the Atomenergoproekt default — left unresolved
Leningrad 1|2|turbine_supplier|WRONG|Kharkiv Turbine Plant (Turboatom)|HIGH|en.wikipedia.org Turboatom (explicitly lists Leningrad NPP among 500 MW Turboatom-turbine plants, early 1970s)
Leningrad 1|2|rpv_manufacturer|CONFIRMED||HIGH|RBMK channel-type reactor has no single pressure vessel (general RBMK design fact)
Leningrad 1|3|constructor|UNVERIFIABLE|||Minsredmash is a ministry, not a builder; no sourced successor construction-trust name found for Leningrad
Leningrad 1|3|architect_engineer|UNVERIFIABLE|||no direct source found; general RBMK-program literature credits VNIPIET, conflicting with the Atomenergoproekt default — left unresolved
Leningrad 1|3|turbine_supplier|WRONG|Kharkiv Turbine Plant (Turboatom)|HIGH|en.wikipedia.org Turboatom (explicitly lists Leningrad NPP among 500 MW Turboatom-turbine plants, early 1970s)
Leningrad 1|3|rpv_manufacturer|CONFIRMED||HIGH|RBMK channel-type reactor has no single pressure vessel (general RBMK design fact)
Leningrad 1|4|constructor|UNVERIFIABLE|||Minsredmash is a ministry, not a builder; no sourced successor construction-trust name found for Leningrad
Leningrad 1|4|architect_engineer|UNVERIFIABLE|||no direct source found; general RBMK-program literature credits VNIPIET, conflicting with the Atomenergoproekt default — left unresolved
Leningrad 1|4|turbine_supplier|WRONG|Kharkiv Turbine Plant (Turboatom)|HIGH|en.wikipedia.org Turboatom (explicitly lists Leningrad NPP among 500 MW Turboatom-turbine plants, early 1970s)
Leningrad 1|4|rpv_manufacturer|CONFIRMED||HIGH|RBMK channel-type reactor has no single pressure vessel (general RBMK design fact)
Leningrad 2|1|constructor|CONFIRMED||MED|Atomstroyexport is the historically correct label; current legal successor is JSC ASE
Leningrad 2|1|architect_engineer|WRONG|AO ASE / NIAEP (Nizhny Novgorod Atomenergoproekt), not Moscow Atomenergoproekt|MED|analogized from ru.wikipedia.org Ростовская АЭС design-institute finding plus the domestic VVER-1200 "AES-2006" program structure
