plant|unit|field|verdict|corrected_value|confidence|source
Shoreham|1|constructor|WRONG|Stone & Webster|HIGH|Wikipedia: Shoreham Nuclear Power Plant
Shoreham|1|architect_engineer|CONFIRMED||HIGH|Wikipedia: Shoreham Nuclear Power Plant
Shoreham|1|turbine_supplier|UNVERIFIABLE|||
Shoreham|1|rpv_manufacturer|UNVERIFIABLE|||
South Texas Project|1|constructor|WRONG|Brown & Root (1975-1981), then Ebasco Constructors (1982-completion)|MED|Wikipedia: South Texas Nuclear Generating Station
South Texas Project|1|architect_engineer|CONFIRMED||MED|Wikipedia: South Texas Nuclear Generating Station (Bechtel AE from 1981, succeeding Brown & Root)
South Texas Project|1|turbine_supplier|UNVERIFIABLE|||
South Texas Project|1|rpv_manufacturer|UNVERIFIABLE|||
South Texas Project|2|constructor|WRONG|Brown & Root (1975-1981), then Ebasco Constructors (1982-completion)|MED|Wikipedia: South Texas Nuclear Generating Station
South Texas Project|2|architect_engineer|CONFIRMED||MED|Wikipedia: South Texas Nuclear Generating Station (Bechtel AE from 1981, succeeding Brown & Root)
South Texas Project|2|turbine_supplier|UNVERIFIABLE|||
South Texas Project|2|rpv_manufacturer|UNVERIFIABLE|||
St Lucie|1|constructor|UNVERIFIABLE|||
St Lucie|1|architect_engineer|CONFIRMED||MED|Wikipedia: St. Lucie Nuclear Power Plant
St Lucie|1|turbine_supplier|UNVERIFIABLE|||
St Lucie|1|rpv_manufacturer|UNVERIFIABLE|||
St Lucie|2|constructor|UNVERIFIABLE|||
St Lucie|2|architect_engineer|CONFIRMED||MED|Wikipedia: St. Lucie Nuclear Power Plant
St Lucie|2|turbine_supplier|UNVERIFIABLE|||
St Lucie|2|rpv_manufacturer|UNVERIFIABLE|||
Summer (V C Summer)|1|constructor|UNVERIFIABLE|||
Summer (V C Summer)|1|architect_engineer|UNVERIFIABLE|||
Summer (V C Summer)|1|turbine_supplier|UNVERIFIABLE|||
Summer (V C Summer)|1|rpv_manufacturer|UNVERIFIABLE|||
Surry|1|constructor|UNVERIFIABLE|||
Surry|1|architect_engineer|CONFIRMED||HIGH|Wikipedia: Surry Nuclear Power Plant; WNA reactor database
Surry|1|turbine_supplier|CONFIRMED||MED|Wikipedia: Surry Nuclear Power Plant
Surry|1|rpv_manufacturer|UNVERIFIABLE|||
Surry|2|constructor|UNVERIFIABLE|||
Surry|2|architect_engineer|CONFIRMED||HIGH|Wikipedia: Surry Nuclear Power Plant; WNA reactor database
Surry|2|turbine_supplier|CONFIRMED||MED|Wikipedia: Surry Nuclear Power Plant
Surry|2|rpv_manufacturer|UNVERIFIABLE|||
Susquehanna|1|constructor|WRONG|Bechtel Power Corporation|HIGH|Wikipedia: Susquehanna Steam Electric Station
