plant|unit|field|verdict|corrected_value|confidence|source
Berkeley|1|constructor|CONFIRMED||HIGH|Wikipedia: Berkeley Nuclear Power Station (AEI/John Thompson consortium)
Berkeley|1|architect_engineer|CONFIRMED||HIGH|Wikipedia: Berkeley Nuclear Power Station (same AEI/John Thompson consortium acted as AE)
Berkeley|1|turbine_supplier|WRONG|AEI (Associated Electrical Industries)|HIGH|Wikipedia: Berkeley Nuclear Power Station ("turbines by AEI"); AEI not absorbed into GEC until 1968, post-construction
Berkeley|1|rpv_manufacturer|UNVERIFIABLE||MED|Wikipedia: Berkeley Nuclear Power Station does not name vessel material or fabricator
Berkeley|2|constructor|CONFIRMED||HIGH|Wikipedia: Berkeley Nuclear Power Station (AEI/John Thompson consortium)
Berkeley|2|architect_engineer|CONFIRMED||HIGH|Wikipedia: Berkeley Nuclear Power Station (same AEI/John Thompson consortium acted as AE)
Berkeley|2|turbine_supplier|WRONG|AEI (Associated Electrical Industries)|HIGH|Wikipedia: Berkeley Nuclear Power Station ("turbines by AEI")
Berkeley|2|rpv_manufacturer|UNVERIFIABLE||MED|Wikipedia: Berkeley Nuclear Power Station does not name vessel material or fabricator
Bradwell|1|constructor|CONFIRMED||HIGH|Wikipedia: Bradwell nuclear power station (Nuclear Power Plant Company consortium)
Bradwell|1|architect_engineer|CONFIRMED||MED|Wikipedia: Bradwell nuclear power station — NPPC consortium acted as both constructor and AE, no distinct AE firm named
Bradwell|1|turbine_supplier|WRONG|C.A. Parsons & Co.|HIGH|Wikipedia: Bradwell nuclear power station (nine turbines by C.A. Parsons)
Bradwell|1|rpv_manufacturer|UNVERIFIABLE||MED|Wikipedia: Bradwell nuclear power station does not name vessel material or fabricator; NPPC included steel-vessel fabricators (Whessoe, Head Wrightson) as consortium members but none confirmed as vessel maker
Bradwell|2|constructor|CONFIRMED||HIGH|Wikipedia: Bradwell nuclear power station (NPPC consortium)
Bradwell|2|architect_engineer|CONFIRMED||MED|Wikipedia: Bradwell nuclear power station — NPPC acted as both
Bradwell|2|turbine_supplier|WRONG|C.A. Parsons & Co.|HIGH|Wikipedia: Bradwell nuclear power station
Bradwell|2|rpv_manufacturer|UNVERIFIABLE||MED|Wikipedia: Bradwell nuclear power station does not name vessel material or fabricator
Calder Hall|1|constructor|WRONG|Taylor Woodrow Construction|HIGH|Wikipedia: Calder Hall nuclear power station — UKAEA was owning/managing authority, not the civil contractor
Calder Hall|1|architect_engineer|CONFIRMED||MED|Wikipedia: Calder Hall nuclear power station — design led by Christopher Hinton's UKAEA Industrial Group
Calder Hall|1|turbine_supplier|WRONG|C.A. Parsons & Co.|HIGH|Wikipedia + Grace's Guide: Calder Hall Power Station (two turbines per reactor, 23 MWe uprated to 30 MWe)
Calder Hall|1|rpv_manufacturer|WRONG|Whessoe (steel pressure vessel)|HIGH|Grace's Guide: Calder Hall Power Station — steel vessel stress-relieved on-site at 600°C; separate 8ft concrete biological shield is not the pressure vessel
Calder Hall|2|constructor|WRONG|Taylor Woodrow Construction|HIGH|Wikipedia: Calder Hall nuclear power station
Calder Hall|2|architect_engineer|CONFIRMED||MED|Wikipedia: Calder Hall nuclear power station — UKAEA Industrial Group design authority
Calder Hall|2|turbine_supplier|WRONG|C.A. Parsons & Co.|HIGH|Wikipedia + Grace's Guide: Calder Hall Power Station
Calder Hall|2|rpv_manufacturer|WRONG|Whessoe (steel pressure vessel)|HIGH|Grace's Guide: Calder Hall Power Station
Calder Hall|3|constructor|WRONG|Taylor Woodrow Construction|HIGH|Wikipedia: Calder Hall nuclear power station
Calder Hall|3|architect_engineer|CONFIRMED||MED|Wikipedia: Calder Hall nuclear power station
