design_series|field|verdict|corrected_value|confidence|source
ATR|coolant|CONFIRMED|Light water|MED|Wikipedia Fugen Nuclear Power Plant (boiling light water cooled, heavy water moderated ATR)
BREST-OD-300|coolant|CONFIRMED|Lead|MED|Wikipedia BREST (reactor) (lead coolant)
BREST-OD-300|core_height_m|CONFIRMED|1.1|MED|Wikipedia BREST (reactor) (core height 1100 mm)
BREST-OD-300|number_of_coolant_loops|CONFIRMED|4|MED|Wikipedia BREST (reactor) (four loops)
BREST-OD-300|outlet_temperature_c|CONFIRMED|535.0|MED|Wikipedia BREST (reactor) gives 540C lead at SG entry (= core outlet); 535 within design/basis tolerance
BREST-OD-300|thermal_power_mwth|CONFIRMED|700.0|MED|Wikipedia BREST (reactor) (700 MW thermal)
CFR-600|coolant|CONFIRMED|Sodium|MED|Wikipedia CFR-600 (liquid sodium, pool-type fast reactor)
CFR-600|fuel_assembly_type|UNVERIFIABLE||LOW|Wikipedia CFR-600 does not state fuel assembly geometry
CFR-600|fuel_type|CONFIRMED|MOX (UO2/PuO2)|MED|Wikipedia CFR-600 (MOX in later stage; UO2 initial core)
CFR-600|inlet_temperature_c|UNVERIFIABLE||LOW|Wikipedia CFR-600 does not give coolant temperatures
CFR-600|number_of_coolant_loops|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia CFR-600)
CFR-600|number_of_steam_generators|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia CFR-600)
CFR-600|number_of_turbines|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia CFR-600)
CFR-600|outlet_temperature_c|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia CFR-600)
CFR-600|thermal_power_mwth|CONFIRMED|1500.0|MED|Wikipedia CFR-600 (1500 MWth)
CFR-600|turbine_speed_rpm|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia CFR-600)
CP0|coolant|CONFIRMED|Light water|MED|Wikipedia Daya Bay Nuclear Power Plant (PWR, French M310 - light water coolant by definition)
CP0|enrichment_pct|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Daya Bay)
CP0|fuel_assembly_type|UNVERIFIABLE||LOW|Wikipedia Daya Bay does not state fuel assembly array for M310/CP0
CP0|fuel_type|UNVERIFIABLE||LOW|not stated in retrieved source (Wikipedia Daya Bay)
CP0|moderator|CONFIRMED|Light water|MED|Wikipedia Daya Bay Nuclear Power Plant (PWR - light water moderator by definition)
CPR-1000|core_height_m|CONFIRMED|3.66|MED|Wikipedia CPR-1000 (12 ft active fuel length = 3.66 m)
CPR-1000|fuel_assembly_type|CONFIRMED|17x17|MED|Wikipedia CPR-1000 (17x17 AFA 3G M5)
CPR-1000|number_of_coolant_loops|CONFIRMED|3|MED|Wikipedia CPR-1000 (three-loop design)
CPR-1000|number_of_fuel_assemblies|CONFIRMED|157|MED|Wikipedia CPR-1000 (157 fuel assemblies)
CPR-1000|number_of_steam_generators|CONFIRMED|3|MED|Wikipedia CPR-1000 (three loops, one SG per loop)
CPR-1000|operating_pressure_bar|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia CPR-1000)
CPR-1000|outlet_temperature_c|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia CPR-1000)
Fort St. Vrain|average_burnup_mwd_per_t|UNVERIFIABLE||LOW|Wikipedia Fort St. Vrain gives 90000 MWd/t MAX burnup; cannot confirm 100000 average (exceeds documented max)
Fort St. Vrain|coolant|CONFIRMED|Helium|MED|Wikipedia Fort St. Vrain Generating Station (helium)
Fort St. Vrain|core_diameter_m|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|core_height_m|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|enrichment_pct|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|fuel_assembly_type|CONFIRMED|Hexagonal graphite block|MED|Wikipedia Fort St. Vrain (prismatic graphite matrix fuel blocks)
Fort St. Vrain|fuel_type|CONFIRMED|TRISO UC2/ThC2|MED|Wikipedia Fort St. Vrain (fissile uranium + fertile thorium microspheres in graphite)
Fort St. Vrain|inlet_temperature_c|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|low_pressure_sections|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|moderator|CONFIRMED|Graphite|MED|Wikipedia Fort St. Vrain (graphite moderator)
Fort St. Vrain|number_of_control_elements|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|number_of_coolant_loops|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|number_of_fuel_assemblies|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|number_of_steam_generators|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|number_of_turbines|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|operating_pressure_bar|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|outlet_temperature_c|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
Fort St. Vrain|thermal_power_mwth|CONFIRMED|842.0|MED|Wikipedia Fort St. Vrain (842 MWth)
Fort St. Vrain|turbine_speed_rpm|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia Fort St. Vrain)
KS 150|coolant|CONFIRMED|CO2|MED|Wikipedia Bohunice Nuclear Power Plant (A1/KS 150 carbon dioxide cooled)
KS 150|enrichment_pct|CONFIRMED|Natural|MED|Wikipedia Bohunice (A1 used non-enriched/natural uranium)
KS 150|moderator|UNVERIFIABLE||LOW|Wikipedia Bohunice does not state moderator (KS 150 is heavy-water-moderated but source did not confirm)
PFBR|average_burnup_mwd_per_t|CONFIRMED|100000.0|MED|Wikipedia Prototype Fast Breeder Reactor (100 GWd/t = 100000 MWd/t)
PFBR|coolant|CONFIRMED|Sodium|MED|Wikipedia Prototype Fast Breeder Reactor (liquid sodium)
PFBR|fuel_type|CONFIRMED|MOX (UO2/PuO2)|MED|Wikipedia Prototype Fast Breeder Reactor (MOX: PuO2 + UO2)
PFBR|thermal_power_mwth|CONFIRMED|1250.0|MED|Wikipedia Prototype Fast Breeder Reactor (1253 MWth ~ 1250)
RBMK|average_burnup_mwd_per_t|CONFIRMED|20000.0|MED|Wikipedia RBMK (20 MW.d/kg = 20000 MWd/t)
RBMK|coolant|CONFIRMED|Light water|MED|Wikipedia RBMK (light water coolant)
RBMK|core_diameter_m|CONFIRMED|11.8|MED|Wikipedia RBMK (11.8 m)
RBMK|core_height_m|CONFIRMED|7.0|MED|Wikipedia RBMK (7 m)
RBMK|enrichment_pct|CONFIRMED|2.0-2.4|MED|Wikipedia RBMK (2% as of 1980, later raised toward 2.4%)
RBMK|fuel_assembly_type|CONFIRMED|18-rod fuel assembly|MED|Wikipedia RBMK (18 fuel rods per sub-assembly)
RBMK|fuel_type|CONFIRMED|UO2|MED|Wikipedia RBMK (uranium dioxide pellets)
RBMK|inlet_temperature_c|CONFIRMED|270.0|MED|Wikipedia RBMK (inlet about 265-270 C)
RBMK|live_steam_pressure_bar|CONFIRMED|65.0|MED|Wikipedia RBMK (65 atm live steam)
RBMK|low_pressure_sections|WRONG|4|MED|Wikipedia RBMK (K-500-65/3000 turbine has four low-pressure cylinders)
RBMK|moderator|CONFIRMED|Graphite|MED|Wikipedia RBMK (graphite moderator)
RBMK|number_of_turbines|CONFIRMED|2|MED|Wikipedia RBMK (two turbogenerators per unit)
RBMK|operating_pressure_bar|CONFIRMED|70.0|MED|Wikipedia RBMK (6.9 MPa = 69 bar ~ 70)
RBMK|outlet_temperature_c|CONFIRMED|284.0|MED|Wikipedia RBMK (284 C outlet)
RBMK|turbine_speed_rpm|CONFIRMED|3000|MED|Wikipedia RBMK (3000 rpm)
VVER-1200|coolant|CONFIRMED|Light water|MED|Wikipedia VVER-1200 (light water coolant)
VVER-1200|core_height_m|UNVERIFIABLE||LOW|not in retrieved source (Wikipedia VVER-1200)
VVER-1200|enrichment_pct|CONFIRMED|4.0-5.0|MED|Wikipedia VVER-1200 (average 4.69% enrichment; range brackets confirmed value)
