design_series|field|verdict|corrected_value|confidence|source
B&W Raised-Loop|coolant|CONFIRMED||MED|en.wikipedia.org Three Mile Island / Oconee Nuclear Station (Babcock & Wilcox PWR = light water coolant)
B&W Raised-Loop|fuel_assembly_type|UNVERIFIABLE||LOW|B&W plant pages retrieved (TMI, Oconee, Davis-Besse, Arkansas Nuclear One) do not state 15x15 lattice; WebSearch unavailable
B&W Raised-Loop|fuel_type|CONFIRMED||MED|en.wikipedia.org Three Mile Island Nuclear Generating Station (UO2 fuel confirmed)
B&W Raised-Loop|moderator|CONFIRMED||MED|en.wikipedia.org Three Mile Island / Oconee (PWR = light water moderator)
B&W Raised-Loop|number_of_coolant_loops|CONFIRMED||MED|en.wikipedia.org Three Mile Island (2-loop B&W design)
B&W Raised-Loop|number_of_fuel_assemblies|UNVERIFIABLE||LOW|retrieved B&W plant pages do not state 177-assembly count; WebSearch unavailable
B&W Raised-Loop|number_of_steam_generators|CONFIRMED||MED|en.wikipedia.org Three Mile Island (2 once-through steam generators)
BN-600|coolant|CONFIRMED||HIGH|en.wikipedia.org BN-600 reactor + world-nuclear.org Fast Neutron Reactors (liquid sodium)
BN-600|core_diameter_m|CONFIRMED||MED|en.wikipedia.org BN-600 reactor (core dia 81 in = 2.057 m, rounds to 2.06)
BN-600|enrichment_pct|CONFIRMED||HIGH|en.wikipedia.org BN-600 reactor (17-26% U-235)
BN-600|fuel_type|CONFIRMED||HIGH|world-nuclear.org Fast Neutron Reactors (uranium oxide fuel, enriched 17/21/26%)
BN-600|live_steam_pressure_bar|UNVERIFIABLE||LOW|retrieved BN-600 sources (Wikipedia, WNA) do not state live steam pressure; WebSearch unavailable
BN-600|number_of_control_elements|CONFIRMED||HIGH|en.wikipedia.org BN-600 reactor (27 total: 19 shim, 2 auto, 6 emergency)
BN-600|number_of_coolant_loops|CONFIRMED||HIGH|en.wikipedia.org BN-600 reactor (three independent circulation loops)
BN-600|number_of_steam_generators|CONFIRMED||HIGH|en.wikipedia.org BN-600 reactor (three, one per loop)
BN-600|outlet_temperature_c|CONFIRMED||HIGH|en.wikipedia.org BN-600 (550C max) + world-nuclear.org (525-550C outlet)
BN-600|thermal_power_mwth|CONFIRMED||HIGH|world-nuclear.org Fast Neutron Reactors (1470 MWth)
CNP-1000|core_height_m|UNVERIFIABLE||LOW|en.wikipedia.org CNP-1000 does not state core height; design not built; WebSearch unavailable
CNP-1000|fuel_assembly_type|UNVERIFIABLE||LOW|en.wikipedia.org CNP-1000 does not state fuel lattice; WebSearch unavailable
CNP-1000|number_of_coolant_loops|CONFIRMED||MED|en.wikipedia.org CNP-1000 (three-loop design)
CNP-1000|number_of_fuel_assemblies|UNVERIFIABLE||LOW|en.wikipedia.org CNP-1000 does not state assembly count; WebSearch unavailable
IPHWR|average_burnup_mwd_per_t|CONFIRMED||HIGH|en.wikipedia.org IPHWR-220 (avg fuel burnup 6700 MWd/ton)
IPHWR|coolant|CONFIRMED||HIGH|en.wikipedia.org IPHWR-220 (primary coolant heavy water D2O)
IPHWR|core_diameter_m|UNVERIFIABLE||LOW|en.wikipedia.org IPHWR-220 gives equivalent active-core diameter 4.51 m; DB 6.4 likely calandria-shell basis, cannot confirm
IPHWR|core_height_m|CONFIRMED||MED|en.wikipedia.org IPHWR-220 (active core height 508.5 cm = 5.09 m ~ 5.0)
IPHWR|enrichment_pct|CONFIRMED||HIGH|en.wikipedia.org IPHWR-220 (0.7% U-235, natural)
IPHWR|fuel_assembly_type|CONFIRMED||HIGH|en.wikipedia.org IPHWR-220 (19 elements in 3 rings)
IPHWR|fuel_type|CONFIRMED||HIGH|en.wikipedia.org IPHWR-220 (sintered natural UO2 pellets)
IPHWR|inlet_temperature_c|CONFIRMED||HIGH|en.wikipedia.org IPHWR-220 (core inlet 249C)
IPHWR|live_steam_pressure_bar|UNVERIFIABLE||LOW|en.wikipedia.org IPHWR-220 does not state secondary/live steam pressure; WebSearch unavailable
IPHWR|low_pressure_sections|UNVERIFIABLE||LOW|retrieved source has no turbine LP-section data; WebSearch unavailable
IPHWR|moderator|CONFIRMED||HIGH|en.wikipedia.org IPHWR-220 (moderator heavy water)
IPHWR|number_of_control_elements|UNVERIFIABLE||LOW|en.wikipedia.org IPHWR-220 does not give control-rod count; WebSearch unavailable
IPHWR|number_of_coolant_loops|UNVERIFIABLE||LOW|en.wikipedia.org IPHWR-220 does not state coolant loop count; WebSearch unavailable
IPHWR|number_of_fuel_assemblies|CONFIRMED||MED|en.wikipedia.org IPHWR-220 (3672 total bundles = 306 fuel channels x 12; 306 = channel count)
IPHWR|number_of_steam_generators|UNVERIFIABLE||LOW|en.wikipedia.org IPHWR-220 does not state SG/boiler count; WebSearch unavailable
IPHWR|number_of_turbines|UNVERIFIABLE||LOW|retrieved source has no turbine count; WebSearch unavailable
IPHWR|operating_pressure_bar|CONFIRMED||HIGH|en.wikipedia.org IPHWR-220 (87 kgf/cm2 gauge = 85.3 bar ~ 85.0)
