design_series|field|verdict|corrected_value|confidence|source
AMB-200|coolant|CONFIRMED||MED|en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station (AMB-200 direct steam cycle - boiling light-water coolant)
AMB-200|enrichment_pct|WRONG|3.0|MED|en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station (AMB-200 fuel enriched to 3.0%; DB 2.0 not supported)
AMB-200|fuel_type|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station (fuel form UO2 not stated in retrieved source)
AMB-200|moderator|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station (graphite moderator not stated in retrieved text)
AMB-200|number_of_turbines|WRONG|2|MED|en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station (AMB-200/Unit 2 had two turbines; DB 1)
AMB-200|thermal_power_mwth|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station (only 160 MWe & ~36% eff given; 530 MWt not stated)
AMB-200|turbine_speed_rpm|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/Beloyarsk_Nuclear_Power_Station (turbine rpm not stated)
BWR/72|coolant|CONFIRMED||MED|en.wikipedia.org/wiki/Boiling_water_reactor (water is coolant and moderator)
BWR/72|fuel_type|CONFIRMED||MED|en.wikipedia.org/wiki/Boiling_water_reactor (low-enriched uranium/UO2 fuel)
BWR/72|moderator|CONFIRMED||MED|en.wikipedia.org/wiki/Boiling_water_reactor (water used as moderator)
BWR/72|thermal_power_mwth|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/Boiling_water_reactor (no per-model thermal rating; 3840 MWt not stated)
BWR/G3|coolant|CONFIRMED||MED|en.wikipedia.org/wiki/Boiling_water_reactor (light water coolant for all GE BWRs)
BWR/G3|fuel_type|CONFIRMED||MED|en.wikipedia.org/wiki/Boiling_water_reactor (low-enriched uranium/UO2 fuel)
BWR/G3|moderator|CONFIRMED||MED|en.wikipedia.org/wiki/Boiling_water_reactor (water used as moderator)
CAP1000|coolant|CONFIRMED||MED|en.wikipedia.org/wiki/CAP1000 (pressurized water reactor - water coolant)
CAP1000|core_height_m|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/CAP1000 (core height not stated in source)
CAP1000|fuel_assembly_type|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/CAP1000 (17x17 not stated in source)
CAP1000|moderator|CONFIRMED||MED|en.wikipedia.org/wiki/CAP1000 (PWR - water moderator)
CAP1000|number_of_control_elements|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/CAP1000 (control rod count not stated)
CAP1000|number_of_coolant_loops|CONFIRMED||MED|en.wikipedia.org/wiki/CAP1000 (PWR with two cooling loops)
CAP1000|number_of_fuel_assemblies|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/CAP1000 (157 not stated in source)
CAP1000|number_of_steam_generators|CONFIRMED||MED|en.wikipedia.org/wiki/CAP1000 (two loops, two steam generators)
EL-4|coolant|CONFIRMED||MED|en.wikipedia.org/wiki/Brennilis_Nuclear_Power_Plant (carbon dioxide coolant, HWGCR)
EL-4|fuel_type|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/Brennilis_Nuclear_Power_Plant (fuel type not stated)
EL-4|moderator|CONFIRMED||MED|en.wikipedia.org/wiki/Brennilis_Nuclear_Power_Plant (heavy water moderator)
