design_series|field|verdict|corrected_value|confidence|source
AGR|average_burnup_mwd_per_t|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/Advanced_gas-cooled_reactor gives 27000-34000 MWd/t (achieved); DB 18000 (possibly design value) not confirmed in retrieved docs
AGR|coolant|CONFIRMED||MED|en.wikipedia.org/wiki/Advanced_gas-cooled_reactor: coolant "Carbon dioxide"
AGR|core_height_m|UNVERIFIABLE||LOW|Core height not stated in Advanced_gas-cooled_reactor or Hinkley_Point_B articles retrieved
AGR|enrichment_pct|CONFIRMED||MED|en.wikipedia.org/wiki/Advanced_gas-cooled_reactor: enrichment "2.5-3.5%"
AGR|fuel_assembly_type|UNVERIFIABLE||LOW|Fuel pin/element configuration (36-element stringer) not stated in retrieved AGR or Hinkley Point B articles
AGR|fuel_type|CONFIRMED||MED|en.wikipedia.org/wiki/Advanced_gas-cooled_reactor: "Uranium dioxide (pellets)"
AGR|inlet_temperature_c|UNVERIFIABLE||LOW|Advanced_gas-cooled_reactor gives approx 278C inlet (re-entrant), station-variable; DB 292 not confirmed
AGR|live_steam_pressure_bar|CONFIRMED||MED|en.wikipedia.org/wiki/Hinkley_Point_B_nuclear_power_station: HP turbine stop valve "160 bar g"
AGR|moderator|CONFIRMED||MED|en.wikipedia.org/wiki/Advanced_gas-cooled_reactor: moderator "Nuclear graphite"
AGR|number_of_fuel_assemblies|WRONG|MIXED|MED|Series spans stations with differing channel counts: en.wikipedia.org/wiki/Hinkley_Point_B 308 channels vs Heysham2/Torness 332 (DB value)
AGR|number_of_turbines|CONFIRMED||MED|en.wikipedia.org/wiki/Hinkley_Point_B: 2x660MW turbine sets for 2 reactors = 1 turbine per reactor unit
AGR|operating_pressure_bar|CONFIRMED||MED|en.wikipedia.org/wiki/Advanced_gas-cooled_reactor: operating pressure "around 40 bar" (DB 41 within)
AGR|outlet_temperature_c|CONFIRMED||MED|en.wikipedia.org/wiki/Advanced_gas-cooled_reactor: outlet 640C; Hinkley Point B 665C; DB 648 within station range 640-665
AGR|thermal_power_mwth|WRONG|MIXED|MED|Series spans differing thermal ratings: en.wikipedia.org/wiki/Hinkley_Point_B 1494 MWt, AGR article 1500 MWt vs Heysham2/Torness 1623 (DB value)
BWR/6|coolant|CONFIRMED||MED|en.wikipedia.org/wiki/Boiling_water_reactor: demineralized (light) water coolant
BWR/6|fuel_type|CONFIRMED||MED|en.wikipedia.org/wiki/Boiling_water_reactor: low-enriched uranium (UO2) fuel
BWR/6|moderator|CONFIRMED||MED|en.wikipedia.org/wiki/Boiling_water_reactor: water serves as moderator
BWR/6|number_of_fuel_assemblies|UNVERIFIABLE||LOW|en.wikipedia.org/wiki/Boiling_water_reactor: large BWR/6 "up to ~800 assemblies"; varies by plant (Clinton 624/Perry 748/Grand Gulf 800); DB 748 not confirmable as series value
BWR/6|thermal_power_mwth|UNVERIFIABLE||LOW|No BWR/6-specific thermal power in retrieved Boiling_water_reactor article
CNP-300|number_of_coolant_loops|CONFIRMED||MED|en.wikipedia.org/wiki/CNP-300: "a two-loop design"
CP1|coolant|CONFIRMED||MED|en.wikipedia.org/wiki/Nuclear_power_in_France: French 900MWe CP1 is PWR (light water)
CP1|enrichment_pct|CONFIRMED||MED|en.wikipedia.org/wiki/Nuclear_power_in_France: UO2 3-5% enrichment (DB 3.1-3.7 within range)
CP1|fuel_assembly_type|CONFIRMED||MED|en.wikipedia.org/wiki/Nuclear_power_in_France: 264 rods per assembly = 17x17 lattice
CP1|fuel_type|CONFIRMED||MED|en.wikipedia.org/wiki/Nuclear_power_in_France: fuel type UO2
CP1|moderator|CONFIRMED||MED|en.wikipedia.org/wiki/Nuclear_power_in_France: PWR light-water moderator
LMFBR|coolant|CONFIRMED||MED|en.wikipedia.org/wiki/Fast_breeder_reactor: large FBRs are sodium cooled (LMFBR)
LMFBR|fuel_type|CONFIRMED||MED|en.wikipedia.org/wiki/Fast_breeder_reactor: MOX core up to 20% PuO2 / at least 80% UO2
LMFBR|number_of_turbines|UNVERIFIABLE||LOW|Turbine count per unit not stated in retrieved Fast_breeder_reactor article
