design_series|field|verdict|corrected_value|confidence|source
AMB-100|coolant|CONFIRMED||MED|Wikipedia Beloyarsk NPP: AMB-100 described as graphite-moderated boiling water reactor (light water coolant)
AMB-100|enrichment_pct|CONFIRMED||MED|Wikipedia Beloyarsk NPP: fuel enrichment 1.8%
AMB-100|fuel_type|UNVERIFIABLE||LOW|Not stated in retrieved Wikipedia Beloyarsk NPP article; UO2 not confirmed this session
AMB-100|moderator|CONFIRMED||MED|Wikipedia Beloyarsk NPP: graphite-moderated
AMB-100|number_of_turbines|UNVERIFIABLE||LOW|Turbine count not stated in retrieved sources
AMB-100|thermal_power_mwth|CONFIRMED||MED|Wikipedia Beloyarsk NPP: ~285 MWth (~100 MWe)
AMB-100|turbine_speed_rpm|UNVERIFIABLE||LOW|Turbine speed not stated in retrieved sources
AVR|coolant|CONFIRMED||MED|Wikipedia AVR reactor: coolant Helium
AVR|core_diameter_m|UNVERIFIABLE||LOW|Core diameter not stated in retrieved AVR article
AVR|core_height_m|UNVERIFIABLE||LOW|Core height not stated in retrieved AVR article
AVR|enrichment_pct|UNVERIFIABLE||LOW|Enrichment not stated in retrieved AVR article
AVR|fuel_assembly_type|CONFIRMED||MED|Wikipedia AVR reactor: ~100,000 fuel element pebbles (pebble bed); 60mm dia not explicitly stated
AVR|fuel_type|CONFIRMED||MED|Wikipedia AVR reactor: TRISO oxide particles (1983-1988) and thorium fuels used (also BISO carbide earlier)
AVR|inlet_temperature_c|UNVERIFIABLE||LOW|Inlet temp not stated in retrieved AVR article
AVR|moderator|CONFIRMED||MED|Wikipedia AVR reactor: moderator Graphite
AVR|number_of_control_elements|UNVERIFIABLE||LOW|Control rod count not stated in retrieved AVR article
AVR|number_of_coolant_loops|UNVERIFIABLE||LOW|Coolant loop count not stated in retrieved AVR article
AVR|number_of_steam_generators|UNVERIFIABLE||LOW|SG count not stated in retrieved AVR article
AVR|number_of_turbines|UNVERIFIABLE||LOW|Turbine count not stated in retrieved AVR article
AVR|operating_pressure_bar|UNVERIFIABLE||LOW|Operating pressure not stated in retrieved AVR article
AVR|outlet_temperature_c|CONFIRMED||MED|Wikipedia AVR reactor: 950 C outlet achieved Feb 1974
AVR|thermal_power_mwth|CONFIRMED||MED|Wikipedia AVR reactor: 46 MWt (15 MWe)
AVR|turbine_speed_rpm|UNVERIFIABLE||LOW|Turbine speed not stated in retrieved AVR article
Agesta|coolant|CONFIRMED||MED|Wikipedia Agesta NPP: pressurized heavy water reactor (heavy water coolant)
