design_series|field|verdict|corrected_value|confidence|source
AM-1|coolant|CONFIRMED||MED|Wikipedia: Obninsk Nuclear Power Plant (coolant = water)
AM-1|core_diameter_m|UNVERIFIABLE||LOW|Not stated in Obninsk NPP / RBMK articles retrieved
AM-1|core_height_m|UNVERIFIABLE||LOW|Not stated in retrieved sources
AM-1|enrichment_pct|CONFIRMED||MED|Wikipedia: Obninsk NPP ("5% enriched uranium")
AM-1|fuel_type|UNVERIFIABLE||LOW|Fuel designation (UO2) not stated in retrieved sources; AM-1 fuel form not confirmed this session
AM-1|moderator|CONFIRMED||MED|Wikipedia: Obninsk NPP / RBMK (graphite moderator)
AM-1|number_of_fuel_assemblies|UNVERIFIABLE||LOW|Not stated in retrieved sources
AM-1|number_of_turbines|UNVERIFIABLE||LOW|Not stated in retrieved sources
AM-1|operating_pressure_bar|UNVERIFIABLE||LOW|Not stated in retrieved sources
AM-1|outlet_temperature_c|UNVERIFIABLE||LOW|Not stated in retrieved sources
AM-1|thermal_power_mwth|CONFIRMED||MED|Wikipedia: Obninsk NPP / RBMK ("30 MW thermal power")
B&W Lowered-Loop|coolant|CONFIRMED||MED|Wikipedia PWR; Oconee (model B&W LLP = Lowered-Loop Plant) is a PWR
B&W Lowered-Loop|fuel_assembly_type|UNVERIFIABLE||LOW|15x15 not stated in retrieved Oconee/PWR/B&W sources
B&W Lowered-Loop|fuel_type|CONFIRMED||MED|Wikipedia PWR (enriched uranium dioxide fuel)
B&W Lowered-Loop|moderator|CONFIRMED||MED|Wikipedia PWR (light water moderator)
B&W Lowered-Loop|number_of_coolant_loops|UNVERIFIABLE||LOW|2 not stated in retrieved sources
B&W Lowered-Loop|number_of_fuel_assemblies|UNVERIFIABLE||LOW|177 not stated in retrieved sources
B&W Lowered-Loop|number_of_steam_generators|UNVERIFIABLE||LOW|Not stated in retrieved sources
B&W Lowered-Loop|thermal_power_mwth|UNVERIFIABLE||LOW|Wikipedia Oconee (B&W LLP) shows 2610 MWth current; 2568 (original design) not sourced this session
BN-20|fuel_type|UNVERIFIABLE||LOW|Entity BN-20 not identifiable in retrieved sources (List of nuclear reactors lists BN-350/600/800/1200 only)
BN-20|thermal_power_mwth|UNVERIFIABLE||LOW|Entity BN-20 not identifiable in retrieved sources
BWR/1|coolant|CONFIRMED||MED|Wikipedia BWR ("demineralized water as a coolant and neutron moderator")
BWR/1|fuel_type|CONFIRMED||MED|Wikipedia BWR (low-enriched uranium oxide fuel)
BWR/1|moderator|CONFIRMED||MED|Wikipedia BWR (water moderator)
BWR/69|coolant|CONFIRMED||MED|BWR by designation; Wikipedia BWR (water coolant)
BWR/69|fuel_type|CONFIRMED||MED|Wikipedia BWR (uranium oxide fuel)
BWR/69|moderator|CONFIRMED||MED|Wikipedia BWR (water moderator)
BWR/69|number_of_fuel_assemblies|UNVERIFIABLE||LOW|592 not sourced this session
BWR/69|thermal_power_mwth|UNVERIFIABLE||LOW|2575 not sourced this session (Isar/Philippsburg/Krummel articles lacked MWth)
BWR/75|coolant|CONFIRMED||MED|Wikipedia Forsmark (ABB Atom BWR 75, water coolant)
