design_series|field|verdict|corrected_value|confidence|source
ACPR-1000|coolant|CONFIRMED||MED|Wikipedia CPR-1000/ACPR-1000 (light-water PWR)
ACPR-1000|enrichment_pct|CONFIRMED||MED|Wikipedia CPR-1000 (fuel enriched to 4.5% U-235; 3.7-4.5 range consistent)
ACPR-1000|fuel_assembly_type|CONFIRMED||MED|Wikipedia CPR-1000 (AREVA 17x17 AFA 3G M5)
ACPR-1000|moderator|CONFIRMED||MED|Wikipedia CPR-1000/ACPR-1000 (light-water PWR)
ACPR-1000|number_of_coolant_loops|CONFIRMED||MED|Wikipedia CPR-1000/ACPR-1000 (three-loop configuration)
ACPR-1000|number_of_fuel_assemblies|CONFIRMED||MED|Wikipedia CPR-1000/ACPR-1000 (157 fuel assemblies)
ACPR-1000|number_of_steam_generators|CONFIRMED||MED|Wikipedia CPR-1000 (three loops, three steam generators)
APR1400|coolant|CONFIRMED||MED|Wikipedia APR-1400 (pressurized light-water reactor)
APR1400|core_diameter_m|UNVERIFIABLE||LOW|Not in retrieved sources; APR1400 IAEA ARIS PDF returned 404
APR1400|core_height_m|UNVERIFIABLE||LOW|Not in retrieved sources; APR1400 IAEA ARIS PDF returned 404
APR1400|enrichment_pct|UNVERIFIABLE||LOW|Wikipedia APR-1400 gives core avg 2.6 w/o only; max-range 4.5-5.0 not confirmed this session
APR1400|fuel_assembly_type|CONFIRMED||MED|Wikipedia APR-1400 (236 fuel rods in 16x16 array)
APR1400|fuel_type|CONFIRMED||MED|Wikipedia APR-1400 (uranium dioxide)
APR1400|low_pressure_sections|UNVERIFIABLE||LOW|Not in retrieved sources
APR1400|moderator|CONFIRMED||MED|Wikipedia APR-1400 (light-water PWR)
APR1400|number_of_control_elements|CONFIRMED||MED|Wikipedia APR-1400 (93 control element assemblies)
APR1400|number_of_coolant_loops|CONFIRMED||MED|Wikipedia APR-1400 (two reactor coolant loops)
APR1400|number_of_fuel_assemblies|CONFIRMED||MED|Wikipedia APR-1400 (241 fuel assemblies)
APR1400|number_of_steam_generators|CONFIRMED||MED|Wikipedia APR-1400 (two steam generators)
APR1400|number_of_turbines|UNVERIFIABLE||LOW|Not in retrieved sources
APR1400|operating_pressure_bar|UNVERIFIABLE||LOW|Not in retrieved sources (ARIS PDF 404)
APR1400|thermal_power_mwth|CONFIRMED||MED|Wikipedia APR-1400 (3983 MW thermal, 4000 MW nominal)
APR1400|turbine_speed_rpm|UNVERIFIABLE||LOW|Not in retrieved sources
