design_series|field|verdict|corrected_value|confidence|source
BWR/1|fuel_type|CONFIRMED||HIGH|IAEA "Boiling water reactor" emergency reference page; WNA "Nuclear Power Reactors"
BWR/1|moderator|CONFIRMED||HIGH|IAEA "Boiling water reactor" emergency reference page; WNA "Nuclear Power Reactors"
BWR/1|coolant|CONFIRMED||HIGH|IAEA "Boiling water reactor" emergency reference page; WNA "Nuclear Power Reactors"
BWR/1|number_of_coolant_loops|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session
BWR/1|operating_pressure_bar|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session
BWR/1|enrichment_pct|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session
BWR/1|outlet_temperature_c|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session
BWR/1|number_of_turbines|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session
BWR/1|low_pressure_sections|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session
BWR/1|live_steam_pressure_bar|UNVERIFIABLE||LOW|No BWR/1-specific primary document retrieved this session
BWR/2|thermal_power_mwth|UNVERIFIABLE||LOW|WebSearch on Oyster Creek/Nine Mile Point 1 (BWR/2 plants) returned differing as-operated values (1930 MWt Oyster Creek uprated, ~1850 MWt Nine Mile Pt 1) not on same basis as a generic BWR/2 line rating; no generic-line document found
BWR/2|fuel_type|CONFIRMED||HIGH|IAEA "Boiling water reactor" emergency reference page; WNA "Nuclear Power Reactors"
BWR/2|moderator|CONFIRMED||HIGH|IAEA "Boiling water reactor" emergency reference page; WNA "Nuclear Power Reactors"
BWR/2|coolant|CONFIRMED||HIGH|IAEA "Boiling water reactor" emergency reference page; WNA "Nuclear Power Reactors"
BWR/2|number_of_coolant_loops|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session
BWR/2|operating_pressure_bar|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session
BWR/2|enrichment_pct|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session
BWR/2|core_height_m|UNVERIFIABLE||LOW|No BWR/2-specific primary document retrieved this session
