design_series|field|verdict|corrected_value|confidence|source
VVER-440/179|thermal_power_mwth|CONFIRMED||MED|Web search synthesis of VVER-440 technical literature (INIS-IAEA fuel-cycle papers): thermal power 1375 MWth
VVER-440/179|fuel_type|CONFIRMED||HIGH|VVER-440 technical literature (INIS-IAEA, ResearchGate VVER-Type Reactors of Russian Design): UO2 fuel
VVER-440/179|moderator|CONFIRMED||HIGH|VVER-440 technical literature: light-water moderated PWR-type design
VVER-440/179|coolant|CONFIRMED||HIGH|VVER-440 technical literature: light water primary coolant
VVER-440/179|number_of_coolant_loops|CONFIRMED||HIGH|Long-Term Operation of VVER Power Plants (ResearchGate/InTech): six main coolant pumps and loops
VVER-440/179|operating_pressure_bar|WRONG|123.0|HIGH|atomeromu.mvm.hu Paks NPP "VVER-440/213 - The reactor core" + ScienceDirect VVER-440 primary circuit papers: nominal primary pressure 123 bar (12.3 MPa)
VVER-440/179|enrichment_pct|UNVERIFIABLE||LOW|Searched INIS-IAEA VVER-440 fuel-cycle literature; found various historical enrichments (1.6/2.4/3.6/3.3/4.38%) but no source confirming a 3.3-3.6% range specific to V-179
VVER-440/179|core_height_m|WRONG|2.42|MED|atomeromu.mvm.hu Paks NPP "VVER-440/213 - The reactor core": active core close to a cylinder of 2.42 m height (applied across VVER-440 line sharing common core envelope)
VVER-440/179|core_diameter_m|CONFIRMED||HIGH|atomeromu.mvm.hu Paks NPP reactor core document: core diameter 2.88 m
VVER-440/179|number_of_fuel_assemblies|CONFIRMED||MED|atomeromu.mvm.hu Paks NPP document: 312 fuel assemblies + 37 control assemblies = 349 total core positions
VVER-440/179|number_of_control_elements|CONFIRMED||HIGH|VVER-Type Reactors of Russian Design (Springer) / VVER design-evolution search synthesis: "the original design of VVER-440 type reactors had 73 mechanical control rods" (V-179 first generation)
VVER-440/179|outlet_temperature_c|WRONG|297.0|HIGH|atomeromu.mvm.hu Paks NPP document + ScienceDirect VVER-440 primary circuit papers: coolant warms to 297°C (hot leg/outlet)
