design_series|field|verdict|corrected_value|confidence|source
Peach Bottom HTGR|thermal_power_mwth|CONFIRMED|None|HIGH|Wikipedia: Peach Bottom Unit 1 (115 MWth)
Peach Bottom HTGR|fuel_type|CONFIRMED|None|MED|Wikipedia: Peach Bottom Unit 1 (Th-232/U-235 mixed carbide fuel)
Peach Bottom HTGR|moderator|CONFIRMED|None|MED|Wikipedia: Peach Bottom Unit 1 (nuclear graphite)
Peach Bottom HTGR|coolant|CONFIRMED|None|HIGH|Wikipedia: Peach Bottom Unit 1 (helium)
Peach Bottom HTGR|number_of_coolant_loops|UNVERIFIABLE|None|LOW|Searched (INEEL/EXT-03-00103 fuel summary, Wikipedia); no authoritative loop count found
Peach Bottom HTGR|operating_pressure_bar|UNVERIFIABLE|None|LOW|Searched; only an unconfirmed ~2.5 MPa (~25 bar) figure surfaced, not precisely attested against 24 bar
Peach Bottom HTGR|enrichment_pct|UNVERIFIABLE|None|LOW|Searched (Wikipedia, INEEL summary); no explicit enrichment percentage retrieved for Peach Bottom specifically
Peach Bottom HTGR|core_height_m|UNVERIFIABLE|None|LOW|Searched; no core height figure retrieved
Peach Bottom HTGR|core_diameter_m|UNVERIFIABLE|None|LOW|Searched; no core diameter figure retrieved
Peach Bottom HTGR|number_of_fuel_assemblies|UNVERIFIABLE|None|LOW|Searched; no fuel element count retrieved
Peach Bottom HTGR|number_of_control_elements|UNVERIFIABLE|None|LOW|Searched; no control element count retrieved
Peach Bottom HTGR|outlet_temperature_c|UNVERIFIABLE|None|LOW|Conflicting retrieved values: Wikipedia states 700C outlet, another synthesized result states 750C; neither confirms 725C
Peach Bottom HTGR|inlet_temperature_c|UNVERIFIABLE|None|LOW|Only an unconfirmed 377C figure surfaced from a non-specific synthesis; not a clean match or contradiction of 344C
Peach Bottom HTGR|number_of_steam_generators|UNVERIFIABLE|None|LOW|Searched; no steam generator count retrieved
Peach Bottom HTGR|fuel_assembly_type|UNVERIFIABLE|None|LOW|Searched; no specific fuel assembly geometry confirmed
Peach Bottom HTGR|number_of_turbines|UNVERIFIABLE|None|LOW|Searched; no turbine count retrieved
Peach Bottom HTGR|turbine_speed_rpm|UNVERIFIABLE|None|LOW|Searched; no turbine speed retrieved
