design_series|field|verdict|corrected_value|confidence|source
SGHWR|thermal_power_mwth|WRONG|318.0|HIGH|IAEA PRIS Reactor Details (Winfrith SGHWR, current=239): "Thermal Power: 318 MWt"; corroborated by WNA nuclear reactor database Winfrith-SGHWR page: "Thermal Capacity: 318 MWt"
SGHWR|fuel_type|CONFIRMED|N/A|MED|WebSearch-retrieved excerpt of UNESCO EOLSS "Heavy Water Light Water Reactors" sample chapter: "The fuel used in the Winfrith SGHWR was uranium dioxide (UO2)"
SGHWR|moderator|CONFIRMED|N/A|MED|IAEA PRIS Winfrith SGHWR summary (via WebSearch): "direct cycle pressure tube reactor... using light water as the coolant and heavy water as the principal moderator"
SGHWR|coolant|CONFIRMED|N/A|MED|IAEA PRIS Winfrith SGHWR summary (via WebSearch): "using light water as the coolant and heavy water as the principal moderator"
SGHWR|operating_pressure_bar|UNVERIFIABLE|N/A|LOW|Searched OSTI "Engineering Details of SGHWR, Winfrith" bibliographic record and multiple WebSearch queries; no retrievable source stated a specific operating pressure value
SGHWR|enrichment_pct|UNVERIFIABLE|N/A|LOW|UNESCO EOLSS excerpt states outer-zone dual-feed enrichment of 3.1%, not core-average 2.3%; no source found giving a 2.3% figure, basis mismatch prevents confirmation or correction
SGHWR|number_of_fuel_assemblies|CONFIRMED|N/A|MED|Grokipedia "Winfrith" page (via WebSearch): "pressure-tube designs with heavy water moderation and light water cooling via 104 zirconium alloy channels"
SGHWR|outlet_temperature_c|UNVERIFIABLE|N/A|LOW|No retrieved source (IAEA PRIS, WNA, OSTI records searched) stated a specific coolant outlet temperature for Winfrith SGHWR
SGHWR|fuel_assembly_type|CONFIRMED|N/A|MED|WebSearch-retrieved excerpt referencing UNESCO EOLSS/OSTI SGHWR fuel material: "a 36 pin element has been used in the Winfrith SGHWR"
SGHWR|number_of_turbines|UNVERIFIABLE|N/A|LOW|OSTI record title "SGHWR: Steam Turbine for the 100 MW(e) Prototype" (singular) found but does not explicitly state turbine count; treated as insufficient for confirmation
SGHWR|turbine_speed_rpm|UNVERIFIABLE|N/A|LOW|No retrieved source stated turbine speed for the Winfrith SGHWR prototype
SGHWR|low_pressure_sections|UNVERIFIABLE|N/A|LOW|No retrieved source stated low-pressure turbine section count for the Winfrith SGHWR prototype
Saxton|thermal_power_mwth|WRONG|23.5|HIGH|Wikipedia "Saxton Nuclear Generating Station" (fetched directly): "Thermal Power: 23.5 MWth"
Saxton|fuel_type|UNVERIFIABLE|N/A|LOW|Wikipedia "Saxton Nuclear Generating Station" describes multiple core loadings including "Mixed oxide fuels (MOX) with uranium oxide and plutonium oxide combinations"; DB value UO2 cannot be confirmed as the sole/original fuel type given documented MOX experimental cores
Saxton|moderator|CONFIRMED|N/A|MED|Wikipedia "Saxton Nuclear Generating Station" (fetched directly): described as pressurized water reactor system, moderator/coolant water
Saxton|coolant|CONFIRMED|N/A|MED|Wikipedia "Saxton Nuclear Generating Station" (fetched directly): pressurized water reactor coolant system
Saxton|number_of_coolant_loops|CONFIRMED|N/A|HIGH|Wikipedia "Saxton Nuclear Generating Station" (fetched directly): "The reactor coolant system contained a single loop of piping and components"
Saxton|operating_pressure_bar|UNVERIFIABLE|N/A|LOW|Conflicting retrieved values: Wikipedia states "Nominal reactor coolant system pressure was 2,250 psig" (~155 bar gauge) while a separate WebSearch summary cited "13.79 MPa (~2000 psia)" (~138 bar); cannot reconcile basis (gauge vs absolute) to confirm or correct DB value of 140 bar
Saxton|enrichment_pct|UNVERIFIABLE|N/A|LOW|Wikipedia "Saxton Nuclear Generating Station" references "low enriched uranium oxide" without a specific percentage; NRC docket PDF (ML0036/ML003685273.pdf) returned HTTP 403 and could not be retrieved
Saxton|number_of_fuel_assemblies|CONFIRMED|HIGH|N/A|Wikipedia "Saxton Nuclear Generating Station" (fetched directly): "21 assemblies in the core" in a "9x9 rod position matrix"
Saxton|outlet_temperature_c|UNVERIFIABLE|N/A|LOW|Wikipedia "Saxton Nuclear Generating Station" gives only a reactor vessel average temperature of 493°F (256°C), not an outlet temperature; basis mismatch prevents confirming or correcting DB's 282°C
Saxton|number_of_steam_generators|CONFIRMED|N/A|MED|Wikipedia "Saxton Nuclear Generating Station" (fetched directly): single-loop system "thus one coolant pump and one steam generator"
Saxton|number_of_turbines|UNVERIFIABLE|N/A|LOW|Wikipedia "Saxton Nuclear Generating Station" (fetched directly) states the facility "did not have its own turbine or generator" and instead fed steam to the adjacent Saxton Steam Generating Station's turbine — basis for DB's "1" (shared vs dedicated) is ambiguous, so not confirmed or corrected outright
BREST-OD-300|thermal_power_mwth|CONFIRMED|N/A|HIGH|Wikipedia "BREST-300" (fetched directly): "Thermal power: 700 MW"
