design_series|field|verdict|corrected_value|confidence|source
APR1400|thermal_power_mwth|CONFIRMED|None|MED|NRC APR1400 DCD Tier 2 Ch.4 (search-result reference confirming "3983 MWt" rated core thermal power; distinct from the rounded 4000 MWt NSSS marketing figure cited elsewhere)
APR1400|fuel_type|CONFIRMED|None|HIGH|IAEA CN-164-3S09 "Design Characteristics of APR1400" (Hangon Kim) — UO2 fuel pellets
APR1400|moderator|CONFIRMED|None|HIGH|IAEA/NRC APR1400 descriptions — pressurized light-water reactor
APR1400|coolant|CONFIRMED|None|HIGH|IAEA/NRC APR1400 descriptions — pressurized light-water reactor
APR1400|number_of_coolant_loops|CONFIRMED|None|HIGH|IAEA CN-164-3S09 — "NSSS contains two primary coolant loops"
APR1400|operating_pressure_bar|CONFIRMED|None|HIGH|IAEA CN-164-3S09 — RCS nominal pressure 2250 psia (158.2 kgf/cm2A ~ 155.1 bar)
APR1400|enrichment_pct|CONFIRMED|None|MED|Grokipedia APR-1400 page citing NRC DCD — enrichment "up to 4.95 w/o"; matches upper bound of claimed 4.5-5.0 range, lower bound not independently confirmed
APR1400|core_height_m|CONFIRMED|None|HIGH|ResearchGate/NRC-sourced core design table — active height 3.810 m
APR1400|core_diameter_m|CONFIRMED|None|HIGH|Same table — core diameter 3.647 m (rounds to 3.65 m)
APR1400|number_of_fuel_assemblies|CONFIRMED|None|HIGH|IAEA CN-164-3S09 and NRC FSER Ch.4 — 241 fuel assemblies
APR1400|number_of_control_elements|CONFIRMED|None|HIGH|IAEA CN-164-3S09 — 93 Control Element Assemblies
APR1400|outlet_temperature_c|UNVERIFIABLE|None|LOW|No document with this exact figure was retrieved; only generic "typical PWR" language found, not APR1400-specific
APR1400|inlet_temperature_c|UNVERIFIABLE|None|LOW|No APR1400-specific source found
APR1400|number_of_steam_generators|CONFIRMED|None|HIGH|IAEA CN-164-3S09 — two coolant loops, one SG per loop (cross-checked via yumpu APR1400 vs OPR1000 comparison doc citing 13,102 SG tubes for APR1400)
APR1400|fuel_assembly_type|CONFIRMED|None|HIGH|IAEA CN-164-3S09 — 16x16 fuel assembly array
APR1400|average_burnup_mwd_per_t|WRONG|55000.0|MED|IAEA CN-164-3S09 states "batch average burn-up of 55,000 MWD/MTU"; 60,000 MWD/MTU figures found elsewhere refer to maximum/rod-peak burnup, not average — basis mismatch
APR1400|number_of_turbines|CONFIRMED|None|HIGH|Modern Power Systems/NS Energy APR1400 turbine article — single tandem-compound turbine-generator train
APR1400|turbine_speed_rpm|CONFIRMED|None|HIGH|Modern Power Systems APR1400 turbine article — 1800 rpm
APR1400|low_pressure_sections|CONFIRMED|None|HIGH|Modern Power Systems APR1400 turbine article — "one HP and three LP turbine sections"
APR1400|live_steam_pressure_bar|WRONG|66.3|MED|Modern Power Systems/NS Energy APR1400 turbine article — throttle pressure 962 psia = 66.3 bar (not 68.0 bar)
OPR-1000|thermal_power_mwth|WRONG|2825.0|HIGH|IAEA PRIS Reactor Details pages for Hanbit-3 and Hanul-3 (OPR-1000 units) both list thermal capacity 2825 MWt
OPR-1000|fuel_type|CONFIRMED|None|MED|Fuel-assembly literature on OPR-1000 (16x16 UO2 pellet fuel rod arrays); no single primary vendor doc retrieved stating "UO2" verbatim
OPR-1000|moderator|CONFIRMED|None|HIGH|Wikipedia/IAEA — OPR-1000 is a two-loop PWR
OPR-1000|coolant|CONFIRMED|None|HIGH|Wikipedia/IAEA — OPR-1000 is a two-loop PWR
OPR-1000|number_of_coolant_loops|CONFIRMED|None|HIGH|Wikipedia OPR-1000 — "two-loop 1000 MWe PWR"
OPR-1000|operating_pressure_bar|CONFIRMED|None|HIGH|KNS (Korean Nuclear Society) "Development of SPACE Input Model of OPR1000 Plant" paper — RCS pressure 155.1 bar (2250 psia)
OPR-1000|enrichment_pct|UNVERIFIABLE|None|LOW|Search results referenced varying study-specific enrichments (~3.4%-4.1%); no single authoritative nominal-design source matched claimed 4.0-4.5 range
OPR-1000|core_height_m|BLOCKED|None|None|Targeted search query rejected mid-task (session WebSearch budget exhausted before this query could run)
OPR-1000|core_diameter_m|BLOCKED|None|None|Same — search rejected due to exhausted WebSearch budget
OPR-1000|number_of_fuel_assemblies|CONFIRMED|None|HIGH|Fuel-assembly literature search — OPR1000 core "composed of 177 fuel assemblies"
OPR-1000|number_of_control_elements|CONFIRMED|None|HIGH|Same source — "73 control element assemblies"
OPR-1000|outlet_temperature_c|UNVERIFIABLE|None|LOW|No OPR-1000-specific document found with this exact figure; only generic PWR-class temperature ranges retrieved
OPR-1000|inlet_temperature_c|UNVERIFIABLE|None|LOW|No OPR-1000-specific source found
OPR-1000|number_of_steam_generators|CONFIRMED|None|HIGH|Two-loop design (one SG per loop); cross-checked via yumpu APR1400-vs-OPR1000 doc citing 8,340 SG tubes for OPR1000
OPR-1000|fuel_assembly_type|CONFIRMED|None|HIGH|ResearchGate/fuel literature — 236 fuel rods in 16x16 array
OPR-1000|average_burnup_mwd_per_t|UNVERIFIABLE|None|LOW|No specific average-burnup figure retrieved despite multiple search attempts
OPR-1000|number_of_turbines|CONFIRMED|None|HIGH|Modern Power Systems APR1400 turbine article (comparative) — OPR1000 uses a single 1000 MW Doosan turbine-generator
OPR-1000|turbine_speed_rpm|CONFIRMED|None|HIGH|Same source — "Both designs operate at 1800 rpm"
OPR-1000|low_pressure_sections|WRONG|3|HIGH|Modern Power Systems/NS Energy APR1400 turbine article, explicit: "Both the OPR1000 and APR1400 are of the solid coupled, tandem compound design with one HP and three LP turbine sections"
OPR-1000|live_steam_pressure_bar|UNVERIFIABLE|None|LOW|No OPR-1000-specific throttle/live-steam pressure figure found; only generic ~1000 psia PWR-class statements retrieved
ACPR-1000|thermal_power_mwth|UNVERIFIABLE|None|LOW|No source found this session stating ACPR-1000 thermal power in MWth
ACPR-1000|fuel_type|UNVERIFIABLE|None|LOW|No explicit UO2 statement retrieved for ACPR-1000 this session
ACPR-1000|moderator|CONFIRMED|None|MED|Wikipedia CPR-1000/ACPR-1000 article + NEI Magazine "Chinese reactor design evolution" describe design as pressurized water reactor
ACPR-1000|coolant|CONFIRMED|None|MED|Wikipedia CPR-1000/ACPR-1000 article + NEI Magazine "Chinese reactor design evolution" (PWR, light water coolant)
ACPR-1000|number_of_coolant_loops|CONFIRMED|None|HIGH|Wikipedia CPR-1000/ACPR-1000 article and NEI Magazine "Chinese reactor design evolution" both state three-loop design
ACPR-1000|operating_pressure_bar|UNVERIFIABLE|None|LOW|No source found this session for ACPR-1000 operating pressure
ACPR-1000|enrichment_pct|CONFIRMED|None|MED|Wikipedia CPR-1000 article states 4.5% U-235 enrichment (predecessor/same fuel family as ACPR-1000, upper bound of claimed range)
