design_series|thermal_power_mwth|fuel_type|moderator|coolant|number_of_coolant_loops|operating_pressure_bar|enrichment_pct|core_height_m|core_diameter_m|number_of_fuel_assemblies|number_of_control_elements|outlet_temperature_c|inlet_temperature_c|number_of_steam_generators|fuel_assembly_type|average_burnup_mwd_per_t|source|number_of_turbines|turbine_speed_rpm|low_pressure_sections|live_steam_pressure_bar
VVER-1000/338|3000.0|UO2|Light water|Light water|4|157.0|3.3-4.4|3.53|3.16|163|61|320.0|289.0|4|Hexagonal|42000.0|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|1|3000|4|60.0
VVER-1000/412|3000.0|UO2|Light water|Light water|4|157.0|3.6-4.4|3.53|3.16|163|61|321.0|290.0|4|Hexagonal|45000.0|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|1|3000|4|60.0
VVER-1000/428|3000.0|UO2|Light water|Light water|4|157.0|3.6-4.4|3.53|3.16|163|61|320.0|289.0|4|Hexagonal|45000.0|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|1|3000|4|60.0
VVER-1000/428M|3000.0|UO2|Light water|Light water|4|157.0|3.6-4.4|3.53|3.16|163|61|320.0|289.0|4|Hexagonal|45000.0|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|1|3000|4|60.0
VVER-1000/446|3000.0|UO2|Light water|Light water|4|157.0|3.6-4.4|3.53|3.16|163|61|320.0|289.0|4|Hexagonal|45000.0|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|1|3000|4|60.0
VVER-1200|3200.0|UO2|Light water|Light water|4|162.0|4.0-5.0|3.73|3.16|163|121|329.0|298.0|4|Hexagonal|60000.0|IAEA PRIS, Rosatom, Wikipedia; turbine speed corrected 2026-07 sweep (family inference)|1|3000|4|68.0
VVER-1200/392B|3200.0|UO2|Light water|Light water|4|162.0|4.0-5.0|3.73|3.16|163|121|329.0|298.0|4|Hexagonal|60000.0|IAEA PRIS, Rosatom, Wikipedia; turbine speed corrected 2026-07 sweep (family inference)|1|3000|4|68.0
VVER-1200/392M|3200.0|UO2|Light water|Light water|4|162.0|4.0-5.0|3.73|3.16|163|121|329.0|298.0|4|Hexagonal|60000.0|IAEA PRIS, Rosatom, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|1|3000|4|68.0
VVER-1200/491|3200.0|UO2|Light water|Light water|4|162.0|4.0-5.0|3.73|3.16|163|121|329.0|298.0|4|Hexagonal|60000.0|IAEA PRIS, Rosatom, Wikipedia; turbine speed corrected 2026-07 audit (full-speed machines)|1|3000|4|68.0
VVER-1200/509|3200.0|UO2|Light water|Light water|4|162.0|4.0-5.0|3.73|3.16|163|121|329.0|298.0|4|Hexagonal|60000.0|IAEA PRIS, Rosatom, Wikipedia|1|1500|4|68.0
VVER-1200/523|3200.0|UO2|Light water|Light water|4|162.0|4.0-5.0|3.73|3.16|163|121|329.0|298.0|4|Hexagonal|60000.0|IAEA PRIS, Rosatom, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|1|3000|4|68.0
VVER-210|760.0|UO2|Light water|Light water|6|100.0|2.0-3.0|2.5|2.3|312|73|270.0|None|6|Hexagonal|20000.0|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (family inference)|1|3000|None|None
VVER-365|1325.0|UO2|Light water|Light water|6|105.0|2.0-3.0|2.42|2.88|349|73|290.0|None|6|Hexagonal|28000.0|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (family inference)|1|3000|None|None
