design_series|thermal_power_mwth|fuel_type|moderator|coolant|number_of_coolant_loops|operating_pressure_bar|enrichment_pct|core_height_m|core_diameter_m|number_of_fuel_assemblies|number_of_control_elements|outlet_temperature_c|inlet_temperature_c|number_of_steam_generators|fuel_assembly_type|average_burnup_mwd_per_t|source|number_of_turbines|turbine_speed_rpm|low_pressure_sections|live_steam_pressure_bar
PHWR-700|2166.0|Natural UO2|Heavy water|Heavy water|2|100.0|Natural|None|None|392|None|310.0|266.0|4|19-element bundle|7000.0|IAEA PRIS, NPCIL, Wikipedia|1|1500|3|47.0
AGR|1623.0|UO2|Graphite|CO2|None|41.0|2.5-3.5|8.3|9.3|332|None|648.0|292.0|8|36-element stringer|18000.0|IAEA PRIS, Wikipedia, WNA; turbine speed corrected 2026-07 audit (full-speed machines)|1|3000|3|160.0
Magnox|None|Natural metallic uranium|Graphite|CO2|None|None|Natural|8.0|14.0|None|89|400.0|180.0|None|Magnox-clad fuel element|3500.0|IAEA PRIS, Wikipedia, WNA; station-variant fields nulled 2026-07 audit (too variable across fleet); turbine speed corrected 2026-07 audit (full-speed machines)|None|3000|2|None
UNGG|None|Natural metallic uranium|Graphite|CO2|None|None|Natural|None|None|None|None|400.0|200.0|None|Graphite-clad fuel element|3500.0|IAEA PRIS, CEA, Wikipedia; station-variant fields nulled 2026-07 audit (too variable, unsourced)|None|None|2|None
AM-1|30.0|UO2|Graphite|Light water|None|100.0|5.0|1.7|1.5|128|None|280.0|None|None|None|None|IAEA PRIS, Wikipedia; turbine speed nulled 2026-07 sweep (mixed-grid or undocumented)|1|None|None|None
AMB-100|285.0|UO2|Graphite|Light water|None|None|1.8|None|None|None|None|None|None|None|None|None|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (family inference)|1|3000|None|None
AMB-200|530.0|UO2|Graphite|Light water|None|None|2.0|None|None|None|None|None|None|None|None|None|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (family inference)|1|3000|None|None
EGP-6|62.0|UO2|Graphite|Light water|None|65.0|3.0|3.0|4.6|273|None|284.0|None|None|None|None|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (family inference)|1|3000|2|65.0
RBMK|None|UO2|Graphite|Light water|None|70.0|2.0-2.4|7.0|11.8|None|None|284.0|270.0|None|18-rod fuel assembly|20000.0|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|2|3000|2|65.0
RBMK-1000|3200.0|UO2|Graphite|Light water|2|70.0|2.0-2.4|7.0|11.8|1661|211|284.0|270.0|None|18-rod fuel assembly|22000.0|IAEA PRIS, Wikipedia, WNA; turbine speed corrected 2026-07 audit (full-speed machines)|2|3000|2|65.0
RBMK-1500|4800.0|UO2|Graphite|Light water|2|70.0|2.0-2.4|7.0|11.8|1661|235|284.0|260.0|None|18-rod fuel assembly|22000.0|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (cited)|2|3000|2|65.0
BN-20|20.0|UO2/PuO2|None|Sodium|None|None|None|None|None|None|None|None|None|None|None|None|IAEA PRIS|None|None|None|None
BN-350|750.0|UO2|None|Sodium|6|None|17-26|None|None|None|None|500.0|288.0|6|None|None|IAEA PRIS, Wikipedia; turbine speed corrected 2026-07 sweep (family inference)|1|3000|None|None
