design_series|thermal_power_mwth|fuel_type|moderator|coolant|number_of_coolant_loops|operating_pressure_bar|enrichment_pct|core_height_m|core_diameter_m|number_of_fuel_assemblies|number_of_control_elements|outlet_temperature_c|inlet_temperature_c|number_of_steam_generators|fuel_assembly_type|average_burnup_mwd_per_t|source|number_of_turbines|turbine_speed_rpm|low_pressure_sections|live_steam_pressure_bar
AP1000|3400.0|UO2|Light water|Light water|2|155.0|4.5-5.0|4.27|3.04|157|53|321.0|281.0|2|17x17|60000.0|Westinghouse AP1000 DCD, NRC, IAEA PRIS|1|1800|3|57.0
SNUPPS|3411.0|UO2|Light water|Light water|4|155.0|3.0-5.0|3.66|3.37|193|53|327.0|292.0|4|17x17|45000.0|IAEA PRIS, NRC Technical Reports; turbine speed corrected 2026-07 sweep (cited)|1|3000|3|70.0
W 1-Loop|460.0|UO2|Light water|Light water|1|155.0|3.0-4.0|None|2.1|121|29|None|None|1|14x14|None|IAEA PRIS, NRC Technical Reports; turbine speed corrected 2026-07 sweep (50 Hz grid)|1|1500|2|52.0
W 2-Loop|1650.0|UO2|Light water|Light water|2|155.0|3.0-5.0|3.66|2.44|121|33|317.0|282.0|2|14x14|33000.0|IAEA PRIS, NRC Technical Reports|1|1800|2|54.0
W 3-Loop|2785.0|UO2|Light water|Light water|3|155.0|3.0-5.0|3.66|3.37|157|48|327.0|292.0|3|17x17|40000.0|IAEA PRIS, NRC Technical Reports, Wikipedia|1|1800|3|60.0
W 4-Loop|3411.0|UO2|Light water|Light water|4|155.0|3.0-5.0|3.66|3.37|193|53|327.0|292.0|4|17x17|45000.0|IAEA PRIS, NRC Technical Reports, Wikipedia|1|1800|3|70.0
CE Pre-System 80|2700.0|UO2|Light water|Light water|2|155.0|3.0-4.5|3.81|3.45|217|77|317.0|288.0|2|14x14|35000.0|IAEA PRIS, NRC Technical Reports|1|1800|3|62.0
CE System 80|3817.0|UO2|Light water|Light water|2|155.0|3.5-5.0|3.81|3.65|241|76|327.0|291.0|2|16x16|45000.0|IAEA PRIS, NRC Technical Reports, Wikipedia|1|1800|3|68.0
B&W 2-Loop|3710.0|UO2|Light water|Light water|2|155.0|3.0-4.0|3.9|3.47|205|69|328.0|291.0|2|16x16|36000.0|IAEA PRIS, Wikipedia|1|1500|2|65.0
B&W Lowered-Loop|2568.0|UO2|Light water|Light water|2|155.0|3.0-4.5|3.63|3.28|177|61|319.0|292.0|2|15x15|35000.0|IAEA PRIS, NRC Technical Reports|1|1800|2|65.0
B&W Raised-Loop|2772.0|UO2|Light water|Light water|2|155.0|3.0-4.5|3.63|3.28|177|61|319.0|292.0|2|15x15|35000.0|IAEA PRIS, NRC Technical Reports|1|1800|2|65.0
CP0|2660.0|UO2|Light water|Light water|3|155.0|3.1-3.7|3.66|3.04|157|48|323.0|286.0|3|17x17|33000.0|IAEA PRIS, EDF, Wikipedia|1|1500|3|56.0
CP1|2785.0|UO2|Light water|Light water|3|155.0|3.1-3.7|3.66|3.04|157|48|323.0|286.0|3|17x17|33000.0|IAEA PRIS, EDF, Wikipedia; thermal corrected 2026-07 audit (PRIS palier CPY)|1|1500|3|56.0
