design_series|field|current_value|origin
AGR|average_burnup_mwd_per_t|18000.0|re-attest
AGR|coolant|CO2|re-attest
AGR|core_height_m|8.3|re-attest
AGR|enrichment_pct|2.5-3.5|re-attest
AGR|fuel_assembly_type|36-element stringer|re-attest
AGR|fuel_type|UO2|re-attest
AGR|inlet_temperature_c|292.0|re-attest
AGR|live_steam_pressure_bar|160.0|re-attest
AGR|moderator|Graphite|re-attest
AGR|number_of_fuel_assemblies|332|re-attest
AGR|number_of_turbines|1|re-attest
AGR|operating_pressure_bar|41.0|re-attest
AGR|outlet_temperature_c|648.0|re-attest
AGR|thermal_power_mwth|1623.0|re-attest
BWR/6|coolant|Light water|re-attest
BWR/6|fuel_type|UO2|re-attest
BWR/6|moderator|Light water|re-attest
BWR/6|number_of_fuel_assemblies|748|re-attest
BWR/6|thermal_power_mwth|3579.0|re-attest
CNP-300|number_of_coolant_loops|2|re-attest
CP1|coolant|Light water|re-attest
CP1|enrichment_pct|3.1-3.7|re-attest
CP1|fuel_assembly_type|17x17|re-attest
CP1|fuel_type|UO2|re-attest
CP1|moderator|Light water|re-attest
LMFBR|coolant|Sodium|first-verify
LMFBR|fuel_type|MOX (UO2/PuO2)|first-verify
LMFBR|number_of_turbines|1|first-verify
P4|coolant|Light water|re-attest
P4|enrichment_pct|3.1-4.0|re-attest
P4|fuel_assembly_type|17x17|re-attest
P4|inlet_temperature_c|292.0|re-attest
P4|low_pressure_sections|3|re-attest
P4|moderator|Light water|re-attest
P4|number_of_coolant_loops|4|re-attest
P4|number_of_fuel_assemblies|193|re-attest
P4|number_of_steam_generators|4|re-attest
P4|number_of_turbines|1|re-attest
P4|operating_pressure_bar|155.0|re-attest
P4|outlet_temperature_c|329.0|re-attest
P4|thermal_power_mwth|3817.0|re-attest
P4|turbine_speed_rpm|1500|re-attest
PHWR|average_burnup_mwd_per_t|7000.0|first-verify
PHWR|coolant|Heavy water|first-verify
PHWR|enrichment_pct|Natural|first-verify
PHWR|fuel_type|Natural UO2|first-verify
PHWR|live_steam_pressure_bar|45.0|first-verify
PHWR|low_pressure_sections|3|first-verify
PHWR|moderator|Heavy water|first-verify
PHWR|number_of_turbines|1|first-verify
PHWR|operating_pressure_bar|100.0|first-verify
PHWR|turbine_speed_rpm|1500|first-verify
Peach Bottom HTGR|coolant|Helium|re-attest
Peach Bottom HTGR|fuel_type|TRISO UC2/ThC2|re-attest
Peach Bottom HTGR|moderator|Graphite|re-attest
Peach Bottom HTGR|thermal_power_mwth|115.0|re-attest
RBMK-1000|average_burnup_mwd_per_t|22000.0|first-verify
RBMK-1000|coolant|Light water|first-verify
RBMK-1000|core_diameter_m|11.8|first-verify
RBMK-1000|core_height_m|7.0|first-verify
RBMK-1000|enrichment_pct|2.0-2.4|first-verify
RBMK-1000|fuel_assembly_type|18-rod fuel assembly|first-verify
RBMK-1000|fuel_type|UO2|first-verify
RBMK-1000|inlet_temperature_c|270.0|first-verify
RBMK-1000|live_steam_pressure_bar|65.0|first-verify
RBMK-1000|low_pressure_sections|2|first-verify
RBMK-1000|moderator|Graphite|first-verify
RBMK-1000|number_of_control_elements|211|first-verify
RBMK-1000|number_of_coolant_loops|2|first-verify
RBMK-1000|number_of_fuel_assemblies|1661|first-verify
RBMK-1000|number_of_turbines|2|first-verify
RBMK-1000|operating_pressure_bar|70.0|first-verify
RBMK-1000|outlet_temperature_c|284.0|first-verify
RBMK-1000|thermal_power_mwth|3200.0|first-verify
RBMK-1000|turbine_speed_rpm|3000|first-verify
VVER-1200/392B|coolant|Light water|re-attest
VVER-1200/392B|core_height_m|3.73|re-attest
VVER-1200/392B|enrichment_pct|4.0-5.0|re-attest
VVER-1200/392B|fuel_assembly_type|Hexagonal|re-attest
VVER-1200/392B|fuel_type|UO2|re-attest
VVER-1200/392B|inlet_temperature_c|298.0|re-attest
VVER-1200/392B|live_steam_pressure_bar|68.0|re-attest
VVER-1200/392B|low_pressure_sections|4|re-attest
VVER-1200/392B|moderator|Light water|re-attest
VVER-1200/392B|number_of_control_elements|121|re-attest
VVER-1200/392B|number_of_coolant_loops|4|re-attest
VVER-1200/392B|number_of_fuel_assemblies|163|re-attest
VVER-1200/392B|number_of_steam_generators|4|re-attest
VVER-1200/392B|number_of_turbines|1|re-attest
VVER-1200/392B|operating_pressure_bar|162.0|re-attest
VVER-1200/392B|outlet_temperature_c|329.0|re-attest
VVER-1200/392B|thermal_power_mwth|3200.0|re-attest
VVER-1200/392B|turbine_speed_rpm|3000|re-attest
VVER-365|average_burnup_mwd_per_t|28000.0|re-attest
VVER-365|coolant|Light water|re-attest
VVER-365|enrichment_pct|2.0-3.0|re-attest
VVER-365|fuel_assembly_type|Hexagonal|re-attest
VVER-365|fuel_type|UO2|re-attest
VVER-365|moderator|Light water|re-attest
VVER-365|number_of_fuel_assemblies|349|re-attest
VVER-365|operating_pressure_bar|105.0|re-attest
VVER-365|thermal_power_mwth|1325.0|re-attest
W 2-Loop|coolant|Light water|re-attest
W 2-Loop|fuel_assembly_type|14x14|re-attest
W 2-Loop|fuel_type|UO2|re-attest
W 2-Loop|moderator|Light water|re-attest
W 2-Loop|number_of_coolant_loops|2|re-attest
W 2-Loop|number_of_fuel_assemblies|121|re-attest
W 2-Loop|number_of_steam_generators|2|re-attest
