design_series|field|current_value|origin
AP1000|average_burnup_mwd_per_t|60000.0|re-attest
AP1000|coolant|Light water|re-attest
AP1000|core_height_m|4.27|re-attest
AP1000|fuel_assembly_type|17x17|re-attest
AP1000|fuel_type|UO2|re-attest
AP1000|moderator|Light water|re-attest
AP1000|number_of_coolant_loops|2|re-attest
AP1000|number_of_fuel_assemblies|157|re-attest
AP1000|number_of_steam_generators|2|re-attest
AP1000|thermal_power_mwth|3400.0|re-attest
BWR/5|coolant|Light water|re-attest
BWR/5|fuel_type|UO2|re-attest
BWR/5|moderator|Light water|re-attest
BWR/5|number_of_control_elements|185|re-attest
BWR/5|number_of_fuel_assemblies|764|re-attest
BWR/5|thermal_power_mwth|3323.0|re-attest
CANDU 500|average_burnup_mwd_per_t|7500.0|first-verify
CANDU 500|coolant|Heavy water|first-verify
CANDU 500|core_diameter_m|5.94|first-verify
CANDU 500|enrichment_pct|Natural|first-verify
CANDU 500|fuel_assembly_type|37-element bundle|first-verify
CANDU 500|fuel_type|Natural UO2|first-verify
CANDU 500|inlet_temperature_c|265.0|first-verify
CANDU 500|live_steam_pressure_bar|47.0|first-verify
CANDU 500|low_pressure_sections|3|first-verify
CANDU 500|moderator|Heavy water|first-verify
CANDU 500|number_of_coolant_loops|2|first-verify
CANDU 500|number_of_fuel_assemblies|380|first-verify
CANDU 500|number_of_steam_generators|4|first-verify
CANDU 500|number_of_turbines|1|first-verify
CANDU 500|operating_pressure_bar|100.0|first-verify
CANDU 500|outlet_temperature_c|305.0|first-verify
CANDU 500|thermal_power_mwth|1750.0|first-verify
CANDU 500|turbine_speed_rpm|1800|first-verify
CE Pre-System 80|coolant|Light water|re-attest
CE Pre-System 80|fuel_type|UO2|re-attest
CE Pre-System 80|moderator|Light water|re-attest
CE Pre-System 80|number_of_fuel_assemblies|217|re-attest
HPR1000|number_of_coolant_loops|3|re-attest
HPR1000|number_of_fuel_assemblies|177|re-attest
HPR1000|thermal_power_mwth|3050.0|re-attest
KWU PHWR|average_burnup_mwd_per_t|6000.0|first-verify
KWU PHWR|coolant|Heavy water|first-verify
KWU PHWR|core_height_m|5.3|first-verify
KWU PHWR|enrichment_pct|0.85|first-verify
KWU PHWR|fuel_assembly_type|37-rod cluster|first-verify
KWU PHWR|fuel_type|UO2|first-verify
KWU PHWR|inlet_temperature_c|265.0|first-verify
KWU PHWR|live_steam_pressure_bar|47.0|first-verify
KWU PHWR|low_pressure_sections|3|first-verify
KWU PHWR|moderator|Heavy water|first-verify
KWU PHWR|number_of_coolant_loops|2|first-verify
KWU PHWR|number_of_fuel_assemblies|253|first-verify
KWU PHWR|number_of_steam_generators|2|first-verify
KWU PHWR|number_of_turbines|1|first-verify
KWU PHWR|operating_pressure_bar|115.0|first-verify
KWU PHWR|outlet_temperature_c|300.0|first-verify
KWU PHWR|thermal_power_mwth|1179.0|first-verify
KWU PHWR|turbine_speed_rpm|1500|first-verify
Konvoi|coolant|Light water|re-attest
Konvoi|fuel_assembly_type|18x18|re-attest
Konvoi|moderator|Light water|re-attest
Konvoi|number_of_fuel_assemblies|193|re-attest
OCR|coolant|Organic (terphenyl)|re-attest
OCR|thermal_power_mwth|45.0|re-attest
PHWR-700|average_burnup_mwd_per_t|7000.0|re-attest
PHWR-700|coolant|Heavy water|re-attest
PHWR-700|enrichment_pct|Natural|re-attest
PHWR-700|fuel_type|Natural UO2|re-attest
PHWR-700|inlet_temperature_c|266.0|re-attest
PHWR-700|moderator|Heavy water|re-attest
PHWR-700|number_of_coolant_loops|2|re-attest
PHWR-700|number_of_fuel_assemblies|392|re-attest
PHWR-700|outlet_temperature_c|310.0|re-attest
PHWR-700|thermal_power_mwth|2166.0|re-attest
Super-Phenix|average_burnup_mwd_per_t|70000.0|first-verify
Super-Phenix|coolant|Sodium|first-verify
Super-Phenix|core_diameter_m|3.66|first-verify
Super-Phenix|core_height_m|1.0|first-verify
Super-Phenix|fuel_assembly_type|Hexagonal|first-verify
Super-Phenix|fuel_type|MOX (UO2/PuO2)|first-verify
Super-Phenix|inlet_temperature_c|395.0|first-verify
Super-Phenix|low_pressure_sections|3|first-verify
Super-Phenix|number_of_control_elements|21|first-verify
Super-Phenix|number_of_coolant_loops|4|first-verify
Super-Phenix|number_of_fuel_assemblies|364|first-verify
Super-Phenix|number_of_steam_generators|4|first-verify
Super-Phenix|number_of_turbines|1|first-verify
Super-Phenix|outlet_temperature_c|545.0|first-verify
Super-Phenix|thermal_power_mwth|3000.0|first-verify
Super-Phenix|turbine_speed_rpm|3000|first-verify
VVER-1000/187|coolant|Light water|re-attest
VVER-1000/187|fuel_assembly_type|Hexagonal|re-attest
VVER-1000/187|moderator|Light water|re-attest
VVER-1000/187|number_of_coolant_loops|4|re-attest
VVER-1000/187|number_of_steam_generators|4|re-attest
VVER-1000/187|thermal_power_mwth|3000.0|re-attest
VVER-440/213|coolant|Light water|re-attest
VVER-440/213|core_diameter_m|2.88|re-attest
VVER-440/213|fuel_assembly_type|Hexagonal|re-attest
VVER-440/213|fuel_type|UO2|re-attest
VVER-440/213|low_pressure_sections|2|re-attest
VVER-440/213|moderator|Light water|re-attest
VVER-440/213|number_of_coolant_loops|6|re-attest
VVER-440/213|number_of_fuel_assemblies|349|re-attest
VVER-440/213|number_of_steam_generators|6|re-attest
VVER-440/213|number_of_turbines|2|re-attest
VVER-440/213|thermal_power_mwth|1375.0|re-attest
VVER-440/213|turbine_speed_rpm|3000|re-attest
